"R0","K","log10K","r","gamma","dt","nsim","t_max","n_patch","alpha","I_init","ext_prob","n_ext","mean_ext_time_index","mean_T_ext","omega_sq","T_osc","omega_logistic_sq","T_osc_logistic","ratio","log10_T_osc","log10_mean_T_ext","log10_ratio","oscillatory","logistic_oscillatory","positive_extinction_time","within_Tosc_window","finite_valid"
1.1,1000,3,0.05,1,0.1,1000,200,1,0,10,1,1000,218.742,21.7742,0.00424375,96.4506086386733,0.00402892561983471,98.9886140059811,NA,NA,NA,NA,TRUE,TRUE,TRUE,FALSE,FALSE
1.2,1000,3,0.05,1,0.1,1000,200,1,0,10,1,1000,261.398,26.0398,0.00910000000000001,65.8656788383031,0.00789930555555556,70.6944649279752,NA,NA,NA,NA,TRUE,TRUE,TRUE,FALSE,FALSE
1.3,1000,3,0.05,1,0.1,1000,200,1,0,10,1,1000,271.732,27.0732,0.01394375,53.2096098493633,0.0111686390532544,59.4538167925163,NA,NA,NA,NA,TRUE,TRUE,TRUE,FALSE,FALSE
1.4,1000,3,0.05,1,0.1,1000,200,1,0,10,1,1000,255.084,25.4084,0.018775,45.8553376345614,0.0139668367346939,53.1656147690702,0.554099071355426,1.66138989552001,1.40497731782294,-0.256412577697075,TRUE,TRUE,TRUE,TRUE,TRUE
1.5,1000,3,0.05,1,0.1,1000,200,1,0,10,1,1000,234.16,23.316,0.02359375,40.9054694984262,0.0163888888888889,49.0800631579454,0.569997124734067,1.61178138170347,1.36765404664741,-0.244127335056067,TRUE,TRUE,TRUE,TRUE,TRUE
1.6,1000,3,0.05,1,0.1,1000,200,1,0,10,1,1000,205.713,20.4713,0.0284,37.2838453879692,0.018505859375,46.1875833563393,0.549066218545303,1.5715206983346,1.31114542277485,-0.260375275559751,TRUE,TRUE,TRUE,TRUE,TRUE
1.7,1000,3,0.05,1,0.1,1000,200,1,0,10,1,1000,192.483,19.1483,0.03319375,34.4867055469176,0.0203719723183391,44.0213472393328,0.555237147078303,1.53765170897651,1.28213022303615,-0.255521485940363,TRUE,TRUE,TRUE,TRUE,TRUE
1.8,1000,3,0.05,1,0.1,1000,200,1,0,10,1,1000,183.01,18.201,0.037975,32.2426684224624,0.0220293209876543,42.3330259531304,0.564500424143554,1.5084309770907,1.26009524966371,-0.248335727426992,TRUE,TRUE,TRUE,TRUE,TRUE
1.9,1000,3,0.05,1,0.1,1000,200,1,0,10,1,1000,171.563,17.0563,0.04274375,30.3908997408616,0.02351108033241,40.9773223035874,0.561230504704908,1.48274355781956,1.23188482613627,-0.250858731683289,TRUE,TRUE,TRUE,TRUE,TRUE
2,1000,3,0.05,1,0.1,1000,200,1,0,10,1,1000,160.761,15.9761,0.0475,28.8292313658267,0.02484375,39.8631205697577,0.554163230967634,1.45983306354568,1.20347077027228,-0.256362293273404,TRUE,TRUE,TRUE,TRUE,TRUE
2.1,1000,3,0.05,1,0.1,1000,200,1,0,10,1,1000,152.781,15.1781,0.05224375,27.4892377263552,0.0260487528344671,38.9301790266153,0.552146994801825,1.43916269707055,1.18121740982294,-0.257945287247604,TRUE,TRUE,TRUE,TRUE,TRUE
2.2,1000,3,0.05,1,0.1,1000,200,1,0,10,1,1000,146.932,14.5932,0.056975,26.3231404759581,0.0271435950413223,38.1369699543435,0.55438673866929,1.42033770143191,1.16415053452261,-0.256187166909296,TRUE,TRUE,TRUE,TRUE,TRUE
2.3,1000,3,0.05,1,0.1,1000,200,1,0,10,1,1000,140.099,13.9099,0.06169375,25.2964328395438,0.0281427221172023,37.4538802095453,0.549875948448186,1.40305928373208,1.14332400780626,-0.259735275925818,TRUE,TRUE,TRUE,TRUE,TRUE
2.4,1000,3,0.05,1,0.1,1000,200,1,0,10,1,1000,135.823,13.4823,0.0664,24.3834878963887,0.0290581597222222,36.8591923696449,0.552927458831547,1.38709582867411,1.12976398656891,-0.2573318421052,TRUE,TRUE,TRUE,TRUE,TRUE
2.5,1000,3,0.05,1,0.1,1000,200,1,0,10,1,1000,131.128,13.0128,0.07109375,23.5648216426584,0.0299,36.3365988345284,0.552212963769837,1.3722641570215,1.11437075495607,-0.25789340206543,TRUE,TRUE,TRUE,TRUE,TRUE
2.6,1000,3,0.05,1,0.1,1000,200,1,0,10,1,1000,127.238,12.6238,0.075775,22.8253211031591,0.030676775147929,35.8736045826545,0.553061222794925,1.35841689583828,1.10119010535327,-0.257226790485015,TRUE,TRUE,TRUE,TRUE,TRUE
2.7,1000,3,0.05,1,0.1,1000,200,1,0,10,1,1000,124.926,12.3926,0.08044375,22.1530595294466,0.0313957475994513,35.4604672512468,0.559408057542903,1.34543371453185,1.09316243205756,-0.25227128247429,TRUE,TRUE,TRUE,TRUE,TRUE
2.8,1000,3,0.05,1,0.1,1000,200,1,0,10,1,1000,121.956,12.0956,0.0851,21.5384818363827,0.032063137755102,35.0894739851937,0.561580899335634,1.33321508831582,1.08262741632966,-0.250587671986165,TRUE,TRUE,TRUE,TRUE,TRUE
2.9,1000,3,0.05,1,0.1,1000,200,1,0,10,1,1000,119.225,11.8225,0.08974375,20.9738308864373,0.0326843043995244,34.7544359970627,0.563678617607478,1.32167776193364,1.07270932268746,-0.248968439246179,TRUE,TRUE,TRUE,TRUE,TRUE
