"result_id","group","parameter_value","R0","K","r","gamma","alpha","tau","P1_raw","P1_used","P1_was_bounded","P1_exact_grid","P1_source","I_star","lambda","simulation_established_at_shift","raw_simulation_minimum","time_shift","n_simulation_replicates","RMSE","max_absolute_deviation","correlation","RMSE_first_500","max_absolute_deviation_first_500","simulation_time_to_90pct","approximation_time_to_90pct","simulation_time_to_95pct","approximation_time_to_95pct"
1,"R0",1.5,1.5,10000,0.125,1,1e-04,50,0.979,0.979,FALSE,0.979,"empirical_exact_grid",277.777777777778,0.0271944444444444,1,1,0,1,0.00205629175343332,0.0209999999999999,NA,0.00406054892582774,0.0209999999999999,0,0,0,0
2,"R0",2,2,10000,0.125,1,1e-04,50,0.905,0.905,FALSE,0.905,"empirical_exact_grid",312.5,0.02828125,0.93,0.93,30.5,1,0.00377071756707096,0.0250000000000001,0.922907630511366,0.00738755874923085,0.0250000000000001,0,0,10.7,24.5
3,"R0",2.5,2.5,10000,0.125,1,1e-04,50,0.316,0.316,FALSE,0.316,"empirical_exact_grid",300,0.00948,0.29,0.295,30.6,1,0.0271909918425376,0.0856795429547519,0.990186825229556,0.0462981521221072,0.0856795429547519,440.6,313.3,570.4,392.1
4,"R0",3,3,10000,0.125,1,1e-04,50,0.031,0.031,FALSE,0.031,"empirical_exact_grid",277.777777777778,0.000861111111111112,0.02,0.02,23.4,1,0.258134258412668,0.546152068025356,0.993024027165187,0.0105630789198272,0.0281316639142619,NA,NA,NA,NA
5,"R0",4,4,10000,0.125,1,1e-04,50,0,1e-06,TRUE,0,"empirical_exact_grid",234.375,2.34375e-08,0,0,19.5,1,1.00002262345078e-06,1.00004524707212e-06,NA,1.00000585939776e-06,1.00001171880695e-06,NA,NA,NA,NA
6,"R0",5,5,10000,0.125,1,1e-04,50,0,1e-06,TRUE,0,"empirical_exact_grid",200,2e-08,0,0,16.5,1,1.00001933529222e-06,1.00003867070902e-06,NA,1.00000500001584e-06,1.00001000004e-06,NA,NA,NA,NA
7,"K",1000,2.5,1000,0.125,1,1e-04,50,0,1e-06,TRUE,0,"empirical_exact_grid",30,3e-09,0,0,121.4,1,1.00000274290353e-06,1.00000548580956e-06,NA,1.00000074984972e-06,1.00000149969962e-06,NA,NA,NA,NA
8,"K",3000,2.5,3000,0.125,1,1e-04,50,0.0667020717532629,0.0667020717532629,FALSE,NA,"two_dimensional_r_slice_GAM",90,0.000600318645779366,0.085,0.085,143.1,1,0.0165534042184088,0.0387533780142017,0.93377473412818,0.0278543005747773,0.0387533780142017,NA,NA,NA,NA
9,"K",10000,2.5,10000,0.125,1,1e-04,50,0.316,0.316,FALSE,0.316,"empirical_exact_grid",300,0.00948,0.29,0.295,30.6,1,0.0271909918425376,0.0856795429547519,0.990186825229556,0.0462981521221072,0.0856795429547519,440.6,313.3,570.4,392.1
10,"K",30000,2.5,30000,0.125,1,1e-04,50,0.64021718695684,0.64021718695684,FALSE,NA,"two_dimensional_r_slice_GAM",900,0.0576195468261156,0.61,0.615,29.3,1,0.00812020204295962,0.07045437123021,0.975460855994447,0.0159155960042009,0.07045437123021,37.4,28.2,61.1,41.1
11,"K",1e+05,2.5,1e+05,0.125,1,1e-04,50,0.973,0.973,FALSE,0.973,"empirical_exact_grid",3000,0.2919,0.97,0.97,28.1,1,0.00155658428381844,0.0273213155844145,0.799421054972343,0.00305155291823513,0.0273213155844145,0,0,0,0
12,"alpha",1e-05,2.5,10000,0.125,1,1e-05,50,0.316,0.316,FALSE,0.316,"empirical_exact_grid",300,0.000948,0.24,0.245,31.7,1,0.134425707306309,0.20794406931375,0.987615244417362,0.0824354602828249,0.0959070858589955,NA,NA,NA,NA
