"R0","K","log10K","r","gamma","dt","t_max","nsim","n_patch","alpha","I_init","mean_ext_time_index","mean_T_ext","ext_prob","n_ext","finite_conditional_mean"
1.1,1000,3,0.05,1,0.1,200,1000,1,0,10,218.742,21.7742,1,1000,TRUE
1.2,1000,3,0.05,1,0.1,200,1000,1,0,10,261.398,26.0398,1,1000,TRUE
1.3,1000,3,0.05,1,0.1,200,1000,1,0,10,271.732,27.0732,1,1000,TRUE
1.4,1000,3,0.05,1,0.1,200,1000,1,0,10,255.084,25.4084,1,1000,TRUE
1.5,1000,3,0.05,1,0.1,200,1000,1,0,10,234.16,23.316,1,1000,TRUE
1.6,1000,3,0.05,1,0.1,200,1000,1,0,10,205.713,20.4713,1,1000,TRUE
1.7,1000,3,0.05,1,0.1,200,1000,1,0,10,192.483,19.1483,1,1000,TRUE
1.8,1000,3,0.05,1,0.1,200,1000,1,0,10,183.01,18.201,1,1000,TRUE
1.9,1000,3,0.05,1,0.1,200,1000,1,0,10,171.563,17.0563,1,1000,TRUE
2,1000,3,0.05,1,0.1,200,1000,1,0,10,160.761,15.9761,1,1000,TRUE
2.1,1000,3,0.05,1,0.1,200,1000,1,0,10,152.781,15.1781,1,1000,TRUE
2.2,1000,3,0.05,1,0.1,200,1000,1,0,10,146.932,14.5932,1,1000,TRUE
2.3,1000,3,0.05,1,0.1,200,1000,1,0,10,140.099,13.9099,1,1000,TRUE
2.4,1000,3,0.05,1,0.1,200,1000,1,0,10,135.823,13.4823,1,1000,TRUE
2.5,1000,3,0.05,1,0.1,200,1000,1,0,10,131.128,13.0128,1,1000,TRUE
2.6,1000,3,0.05,1,0.1,200,1000,1,0,10,127.238,12.6238,1,1000,TRUE
2.7,1000,3,0.05,1,0.1,200,1000,1,0,10,124.926,12.3926,1,1000,TRUE
2.8,1000,3,0.05,1,0.1,200,1000,1,0,10,121.956,12.0956,1,1000,TRUE
2.9,1000,3,0.05,1,0.1,200,1000,1,0,10,119.225,11.8225,1,1000,TRUE
3,1000,3,0.05,1,0.1,200,1000,1,0,10,115.718,11.4718,1,1000,TRUE
3.1,1000,3,0.05,1,0.1,200,1000,1,0,10,114.222,11.3222,1,1000,TRUE
3.2,1000,3,0.05,1,0.1,200,1000,1,0,10,112.676,11.1676,1,1000,TRUE
3.3,1000,3,0.05,1,0.1,200,1000,1,0,10,109.263,10.8263,1,1000,TRUE
3.4,1000,3,0.05,1,0.1,200,1000,1,0,10,108.127,10.7127,1,1000,TRUE
3.5,1000,3,0.05,1,0.1,200,1000,1,0,10,107.238,10.6238,1,1000,TRUE
3.6,1000,3,0.05,1,0.1,200,1000,1,0,10,105.502,10.4502,1,1000,TRUE
3.7,1000,3,0.05,1,0.1,200,1000,1,0,10,104.335,10.3335,1,1000,TRUE
3.8,1000,3,0.05,1,0.1,200,1000,1,0,10,103.263,10.2263,1,1000,TRUE
3.9,1000,3,0.05,1,0.1,200,1000,1,0,10,101.376,10.0376,1,1000,TRUE
4,1000,3,0.05,1,0.1,200,1000,1,0,10,101.514,10.0514,1,1000,TRUE
4.1,1000,3,0.05,1,0.1,200,1000,1,0,10,99.975,9.8975,1,1000,TRUE
4.2,1000,3,0.05,1,0.1,200,1000,1,0,10,99.881,9.8881,1,1000,TRUE
4.3,1000,3,0.05,1,0.1,200,1000,1,0,10,99.25,9.825,1,1000,TRUE
4.4,1000,3,0.05,1,0.1,200,1000,1,0,10,97.358,9.6358,1,1000,TRUE
4.5,1000,3,0.05,1,0.1,200,1000,1,0,10,96.985,9.5985,1,1000,TRUE
4.6,1000,3,0.05,1,0.1,200,1000,1,0,10,96.595,9.5595,1,1000,TRUE
4.7,1000,3,0.05,1,0.1,200,1000,1,0,10,95.654,9.4654,1,1000,TRUE
4.8,1000,3,0.05,1,0.1,200,1000,1,0,10,94.744,9.3744,1,1000,TRUE
4.9,1000,3,0.05,1,0.1,200,1000,1,0,10,93.904,9.2904,1,1000,TRUE
5,1000,3,0.05,1,0.1,200,1000,1,0,10,93.672,9.2672,1,1000,TRUE
1.1,1778.27941003892,3.25,0.05,1,0.1,200,1000,1,0,10,300.114,29.9114,1,1000,TRUE
