"R0","K","log10K","r","gamma","dt","t_max","nsim","n_patch","alpha","I_init","mean_ext_time_index","mean_T_ext","ext_prob","n_ext","finite_conditional_mean"
2.5,1000,3,0.125,1,0.1,200,1000,1,0,10,163.335,16.2335,1,1000,TRUE
2.5,1778.27941003892,3.25,0.125,1,0.1,200,1000,1,0,10,179.838114754098,17.8838114754098,0.976,976,TRUE
2.5,3162.27766016838,3.5,0.125,1,0.1,200,1000,1,0,10,190.3170995671,18.93170995671,0.924,924,TRUE
2.5,5623.41325190349,3.75,0.125,1,0.1,200,1000,1,0,10,193.973268529769,19.2973268529769,0.823,823,TRUE
2.5,10000,4,0.125,1,0.1,200,1000,1,0,10,207.067251461988,20.6067251461988,0.684,684,TRUE
2.5,17782.7941003892,4.25,0.125,1,0.1,200,1000,1,0,10,225.737335834897,22.4737335834897,0.533,533,TRUE
2.5,31622.7766016838,4.5,0.125,1,0.1,200,1000,1,0,10,239.864161849711,23.8864161849711,0.346,346,TRUE
2.5,56234.1325190349,4.75,0.125,1,0.1,200,1000,1,0,10,253.689873417722,25.2689873417722,0.158,158,TRUE
2.5,1e+05,5,0.125,1,0.1,200,1000,1,0,10,247.925925925926,24.6925925925926,0.027,27,TRUE
2.5,177827.941003892,5.25,0.125,1,0.1,200,1000,1,0,10,24,2.3,0.001,1,TRUE
2.5,316227.766016838,5.5,0.125,1,0.1,200,1000,1,0,10,8,0.7,0.001,1,TRUE
2.5,562341.325190349,5.75,0.125,1,0.1,200,1000,1,0,10,9.66666666666667,0.866666666666667,0.003,3,TRUE
2.5,1e+06,6,0.125,1,0.1,200,1000,1,0,10,6,0.5,0.001,1,TRUE
