"R0","K","log10K","r","gamma","dt","t_max","nsim","n_patch","alpha","I_init","mean_ext_time_index","mean_T_ext","ext_prob","n_ext","finite_conditional_mean"
1.1,10000,4,0.125,1,0.1,200,1000,1,0,10,119.996183206107,11.8996183206107,0.262,262,TRUE
1.2,10000,4,0.125,1,0.1,200,1000,1,0,10,56.353982300885,5.5353982300885,0.113,113,TRUE
1.3,10000,4,0.125,1,0.1,200,1000,1,0,10,42.8405797101449,4.18405797101449,0.069,69,TRUE
1.4,10000,4,0.125,1,0.1,200,1000,1,0,10,38.1363636363636,3.71363636363636,0.044,44,TRUE
1.5,10000,4,0.125,1,0.1,200,1000,1,0,10,30.2857142857143,2.92857142857143,0.021,21,TRUE
1.6,10000,4,0.125,1,0.1,200,1000,1,0,10,45.75,4.475,0.016,16,TRUE
1.7,10000,4,0.125,1,0.1,200,1000,1,0,10,122.272727272727,12.1272727272727,0.011,11,TRUE
1.8,10000,4,0.125,1,0.1,200,1000,1,0,10,226.818181818182,22.5818181818182,0.011,11,TRUE
1.9,10000,4,0.125,1,0.1,200,1000,1,0,10,234.268292682927,23.3268292682927,0.041,41,TRUE
2,10000,4,0.125,1,0.1,200,1000,1,0,10,248.178947368421,24.7178947368421,0.095,95,TRUE
2.1,10000,4,0.125,1,0.1,200,1000,1,0,10,231.808080808081,23.0808080808081,0.198,198,TRUE
2.2,10000,4,0.125,1,0.1,200,1000,1,0,10,235.543046357616,23.4543046357616,0.302,302,TRUE
2.3,10000,4,0.125,1,0.1,200,1000,1,0,10,224.576419213974,22.3576419213974,0.458,458,TRUE
2.4,10000,4,0.125,1,0.1,200,1000,1,0,10,213.973109243697,21.2973109243698,0.595,595,TRUE
2.5,10000,4,0.125,1,0.1,200,1000,1,0,10,207.067251461988,20.6067251461988,0.684,684,TRUE
2.6,10000,4,0.125,1,0.1,200,1000,1,0,10,200.415441176471,19.9415441176471,0.816,816,TRUE
2.7,10000,4,0.125,1,0.1,200,1000,1,0,10,191.342956120092,19.0342956120092,0.866,866,TRUE
2.8,10000,4,0.125,1,0.1,200,1000,1,0,10,185.746509129968,18.4746509129968,0.931,931,TRUE
2.9,10000,4,0.125,1,0.1,200,1000,1,0,10,179.239244491081,17.8239244491081,0.953,953,TRUE
3,10000,4,0.125,1,0.1,200,1000,1,0,10,174.176470588235,17.3176470588235,0.969,969,TRUE
3.1,10000,4,0.125,1,0.1,200,1000,1,0,10,168.711382113821,16.7711382113821,0.984,984,TRUE
3.2,10000,4,0.125,1,0.1,200,1000,1,0,10,165.216380182002,16.4216380182002,0.989,989,TRUE
3.3,10000,4,0.125,1,0.1,200,1000,1,0,10,159.728915662651,15.8728915662651,0.996,996,TRUE
3.4,10000,4,0.125,1,0.1,200,1000,1,0,10,155.808808808809,15.4808808808809,0.999,999,TRUE
3.5,10000,4,0.125,1,0.1,200,1000,1,0,10,151.827,15.0827,1,1000,TRUE
3.6,10000,4,0.125,1,0.1,200,1000,1,0,10,149.418418418418,14.8418418418418,0.999,999,TRUE
3.7,10000,4,0.125,1,0.1,200,1000,1,0,10,146.756756756757,14.5756756756757,0.999,999,TRUE
3.8,10000,4,0.125,1,0.1,200,1000,1,0,10,143.67,14.267,1,1000,TRUE
3.9,10000,4,0.125,1,0.1,200,1000,1,0,10,143.067,14.2067,1,1000,TRUE
4,10000,4,0.125,1,0.1,200,1000,1,0,10,138.258,13.7258,1,1000,TRUE
4.1,10000,4,0.125,1,0.1,200,1000,1,0,10,138.089,13.7089,1,1000,TRUE
4.2,10000,4,0.125,1,0.1,200,1000,1,0,10,136.602,13.5602,1,1000,TRUE
4.3,10000,4,0.125,1,0.1,200,1000,1,0,10,134.126,13.3126,1,1000,TRUE
4.4,10000,4,0.125,1,0.1,200,1000,1,0,10,133.337,13.2337,1,1000,TRUE
4.5,10000,4,0.125,1,0.1,200,1000,1,0,10,131.962,13.0962,1,1000,TRUE
4.6,10000,4,0.125,1,0.1,200,1000,1,0,10,131.559,13.0559,1,1000,TRUE
4.7,10000,4,0.125,1,0.1,200,1000,1,0,10,129.861,12.8861,1,1000,TRUE
4.8,10000,4,0.125,1,0.1,200,1000,1,0,10,128.939,12.7939,1,1000,TRUE
4.9,10000,4,0.125,1,0.1,200,1000,1,0,10,127.047,12.6047,1,1000,TRUE
5,10000,4,0.125,1,0.1,200,1000,1,0,10,126.844,12.5844,1,1000,TRUE
