"varied_parameter","parameter_value","R0","K","r","alpha","absorption_step","absorbed_by_tmax","displayed_final_occupancy","initially_occupied","early_min_occupied_patches","early_min_occupancy_fraction","time_of_early_minimum","global_min_occupied_patches","global_min_occupancy_fraction","time_of_global_minimum","final_occupied_patches","recovery_from_early_minimum","post_early_minimum_recolonizations","globally_persistent"
"R0",1.5,1.5,10000,0.125,1e-04,NA,FALSE,1,200,200,1,0,200,1,0,200,0,0,TRUE
"R0",2,2,10000,0.125,1e-04,230.5,TRUE,1,200,186,0.93,30.5,186,0.93,30.5,200,14,25,TRUE
"R0",2.5,2.5,10000,0.125,1e-04,1153.7,TRUE,1,200,59,0.295,30.6,59,0.295,30.6,200,141,590,TRUE
"R0",3,3,10000,0.125,1e-04,NA,FALSE,0.75,200,4,0.02,23.4,4,0.02,23.4,150,146,2523,TRUE
"R0",4,4,10000,0.125,1e-04,NA,FALSE,0,200,0,0,19.5,0,0,19.5,0,0,0,FALSE
"R0",5,5,10000,0.125,1e-04,NA,FALSE,0,200,0,0,16.5,0,0,16.5,0,0,0,FALSE
"K",1000,2.5,1000,0.125,1e-04,NA,FALSE,0,200,1,0.005,73.3,0,0,121.4,0,-1,0,FALSE
"K",3000,2.5,3000,0.125,1e-04,NA,FALSE,0.18,200,20,0.1,88.4,17,0.085,143.1,36,16,506,TRUE
"K",10000,2.5,10000,0.125,1e-04,1153.7,TRUE,1,200,59,0.295,30.6,59,0.295,30.6,200,141,590,TRUE
"K",30000,2.5,30000,0.125,1e-04,166.5,TRUE,1,200,123,0.615,29.3,123,0.615,29.3,200,77,163,TRUE
"K",1e+05,2.5,1e+05,0.125,1e-04,40.5,TRUE,1,200,194,0.97,28.1,194,0.97,28.1,200,6,11,TRUE
"r",0.05,2.5,10000,0.05,1e-04,NA,FALSE,0,200,0,0,29.7,0,0,29.7,0,0,0,FALSE
"r",0.1,2.5,10000,0.1,1e-04,NA,FALSE,0.86,200,11,0.055,33.3,11,0.055,33.3,172,161,2140,TRUE
"r",0.125,2.5,10000,0.125,1e-04,1153.7,TRUE,1,200,59,0.295,30.6,59,0.295,30.6,200,141,590,TRUE
"r",0.2,2.5,10000,0.2,1e-04,78.1,TRUE,1,200,199,0.995,19.3,199,0.995,19.3,200,1,3,TRUE
"r",0.4,2.5,10000,0.4,1e-04,NA,FALSE,1,200,200,1,0,200,1,0,200,0,0,TRUE
"alpha",1e-05,2.5,10000,0.125,1e-05,NA,FALSE,0.55,200,49,0.245,31.7,49,0.245,31.7,110,61,289,TRUE
"alpha",3e-05,2.5,10000,0.125,3e-05,NA,FALSE,0.975,200,55,0.275,27.8,55,0.275,27.8,195,140,562,TRUE
"alpha",1e-04,2.5,10000,0.125,1e-04,1153.7,TRUE,1,200,59,0.295,30.6,59,0.295,30.6,200,141,590,TRUE
"alpha",3e-04,2.5,10000,0.125,3e-04,312.9,TRUE,1,200,47,0.235,31.8,47,0.235,31.8,200,153,476,TRUE
"alpha",0.001,2.5,10000,0.125,0.001,52.3,TRUE,1,200,59,0.295,29.4,59,0.295,29.4,200,141,349,TRUE
