"result_id","group","parameter_value","R0","K","r","gamma","alpha","P1_GAM_raw","P1_used","P1_was_bounded","P1_exact_grid","I_star","lambda","simulation_minimum","time_shift","n_simulation_replicates","RMSE","max_absolute_deviation","correlation","RMSE_first_500","max_absolute_deviation_first_500","simulation_time_to_90pct","approximation_time_to_90pct","simulation_time_to_95pct","approximation_time_to_95pct"
1,"R0",1.5,1.5,10000,0.125,1,1e-04,1.00345511364029,0.999999,TRUE,0.995,277.777777777778,0.02777775,1,0,1,9.49978258663811e-08,1.00000000002876e-06,NA,1.89981404373976e-07,1.00000000002876e-06,0,0,0,0
2,"R0",2,2,10000,0.125,1,1e-04,0.892833624295897,0.892833624295897,FALSE,0.895,312.5,0.0279010507592468,0.93,30.5,1,0.0038761624752469,0.0376378534758797,0.93010136708725,0.00769241247302993,0.0376378534758797,0,2.8,9.40000000000001,29.6
3,"R0",2.5,2.5,10000,0.125,1,1e-04,0.277301572439983,0.277301572439983,FALSE,0.266,300,0.0083190471731995,0.295,30.6,1,0.048047683495836,0.202822831270752,0.985894287941634,0.0943645984715592,0.202822831270752,308.1,379.3,506.2,469.1
4,"R0",3,3,10000,0.125,1,1e-04,0.0313641631959488,0.0313641631959488,FALSE,0.026,277.777777777778,0.000871226755443023,0.02,23.4,1,0.33346132340044,0.648532985212524,0.988271311970922,0.0508799034477941,0.140414780232772,NA,NA,NA,NA
5,"R0",4,4,10000,0.125,1,1e-04,-0.000165456629839467,1e-06,TRUE,0,234.375,2.34375e-08,0,19.5,1,1.00002320941007e-06,1.00004641899966e-06,NA,1.00000585939776e-06,1.00001171880695e-06,NA,NA,NA,NA
6,"R0",5,5,10000,0.125,1,1e-04,0.000111292387120154,0.000111292387120154,FALSE,0,200,2.22584774240309e-06,0,16.5,1,0.000111538488412525,0.000111784770762644,NA,0.000111354338928268,0.000111416302215689,NA,NA,NA,NA
7,"K",1000,2.5,1000,0.125,1,1e-04,0.00504118774791262,0.00504118774791262,FALSE,0.003,30,1.51235632437379e-05,0,121.4,1,0.00511328254275829,0.00518571419757861,NA,0.00506020737625634,0.00507925060197808,NA,NA,NA,NA
8,"K",3000,2.5,3000,0.125,1,1e-04,0.0726837122358446,0.0726837122358446,FALSE,NA,90,0.000654153410122601,0.085,143.1,1,0.0236276740651282,0.0617404868721594,0.86895295215583,0.0366834478198119,0.0617404868721594,NA,NA,NA,NA
9,"K",10000,2.5,10000,0.125,1,1e-04,0.277301572439983,0.277301572439983,FALSE,0.266,300,0.0083190471731995,0.295,30.6,1,0.048047683495836,0.202822831270752,0.985894287941634,0.0943645984715592,0.202822831270752,308.1,379.3,506.2,469.1
10,"K",30000,2.5,30000,0.125,1,1e-04,0.630732707689124,0.630732707689124,FALSE,NA,900,0.0567659436920212,0.615,29.3,1,0.0046359562713214,0.0609837293038623,0.987791127583246,0.00920397871087934,0.0609837293038623,24.2,29.3,38.6,42.5
11,"K",1e+05,2.5,1e+05,0.125,1,1e-04,0.964561274062566,0.964561274062566,FALSE,0.959,3000,0.28936838221877,0.97,28.1,1,0.00128788858310897,0.0263841835977521,0.823110138729529,0.00255742744390598,0.0263841835977521,0,0,0,0
12,"r",0.05,2.5,10000,0.05,1,1e-04,0.277301572439983,0.277301572439983,FALSE,0.266,120,0.0033276188692798,0,29.7,1,0.83382108601781,0.996310327414197,NA,0.484227910977872,0.66942604028116,NA,948.2,NA,1172.8
13,"r",0.1,2.5,10000,0.1,1,1e-04,0.277301572439983,0.277301572439983,FALSE,0.266,240,0.0066552377385596,0.055,33.3,1,0.485027493311639,0.734043300962365,0.72027972582125,0.533094566586814,0.714365889187695,NA,474.1,NA,586.4
14,"r",0.125,2.5,10000,0.125,1,1e-04,0.277301572439983,0.277301572439983,FALSE,0.266,300,0.0083190471731995,0.295,30.6,1,0.048047683495836,0.202822831270752,0.985894287941634,0.0943645984715592,0.202822831270752,308.1,379.3,506.2,469.1
15,"r",0.2,2.5,10000,0.2,1,1e-04,0.277301572439983,0.277301572439983,FALSE,0.266,480,0.0133104754771192,0.995,19.3,1,0.144441824353059,0.717698427560017,0.908077011080774,0.287492197196343,0.717698427560017,0,237.1,0,293.2
16,"r",0.4,2.5,10000,0.4,1,1e-04,0.277301572439983,0.277301572439983,FALSE,0.266,960,0.0266209509542384,1,0,1,0.102614080367193,0.722698427560017,NA,0.205212771121419,0.722698427560017,0,118.6,0,146.6
17,"alpha",1e-05,2.5,10000,0.125,1,1e-05,0.277301572439983,0.277301572439983,FALSE,0.266,300,0.00083190471731995,0.245,31.7,1,0.0597687910210698,0.116864694262082,0.982615924187062,0.0283619327063143,0.0441910403510919,NA,NA,NA,NA
