"varied_parameter","parameter_value","R0","K","r","gamma","alpha","tau","P1_GAM_raw","P1_used","P1_exact_grid","I_star","lambda","simulation_minimum_established","time_shift_established","RMSE","RMSE_first_500","max_absolute_deviation","max_absolute_deviation_first_500","correlation","simulation_time_to_90pct","approximation_time_to_90pct","simulation_time_to_95pct","approximation_time_to_95pct","number_of_nonmissing_time_points"
"R0",1.5,1.5,10000,0.125,1,1e-04,50,1.00345511364029,0.999999,0.995,277.777777777778,0.02777775,1,0,9.62079763735666e-08,1.89981404373976e-07,1.00000000002876e-06,1.00000000002876e-06,NA,0,0,0,0,19501
"R0",2,2,10000,0.125,1,1e-04,50,0.892833624295897,0.892833624295897,0.895,312.5,0.0279010507592468,0.93,0,0.00606067058643463,0.0119679755552386,0.0371663757041029,0.0371663757041029,0.887078103440821,0,2.8,41.2,29.6,19501
"R0",2.5,2.5,10000,0.125,1,1e-04,50,0.277301572439983,0.277301572439983,0.266,300,0.0083190471731995,0.29,8.4,0.0188577798480812,0.028639279077951,0.0630251197200824,0.0630251197200824,0.99499638018468,462.8,379.3,592.6,469.1,19501
"R0",3,3,10000,0.125,1,1e-04,50,0.0313641631959488,0.0313641631959488,0.026,277.777777777778,0.000871226755443023,0.02,0,0.253294164743439,0.00897202867725285,0.539638200580585,0.0226139676189912,0.992939422196495,NA,NA,NA,NA,19501
"R0",4,4,10000,0.125,1,1e-04,50,-0.000165456629839467,1e-06,0,234.375,2.34375e-08,0,0,1.00002285197483e-06,1.00000585939776e-06,1.0000457041237e-06,1.00001171880695e-06,NA,NA,NA,NA,NA,19501
"R0",5,5,10000,0.125,1,1e-04,50,0.000111292387120154,0.000111292387120154,0,200,2.22584774240309e-06,0,0,0.000111534324403438,0.000111354338928268,0.000111776436673093,0.000111416302215689,NA,NA,NA,NA,NA,19501
"K",1000,2.5,1000,0.125,1,1e-04,50,0.00504118774791262,0.00504118774791262,0.003,30,1.51235632437379e-05,0,71.4,0.00511328254275829,0.0050602111928376,0.00518571419757861,0.00507925824460362,NA,NA,NA,NA,NA,19501
"K",3000,2.5,3000,0.125,1,1e-04,50,0.0726837122358446,0.0726837122358446,NA,90,0.000654153410122601,0.085,93,0.0213630262688092,0.0178726986569763,0.0589254864000929,0.0284473543779121,0.938050420423244,NA,NA,NA,NA,19501
"K",10000,2.5,10000,0.125,1,1e-04,50,0.277301572439983,0.277301572439983,0.266,300,0.0083190471731995,0.29,8.4,0.0188577798480812,0.028639279077951,0.0630251197200824,0.0630251197200824,0.99499638018468,462.8,379.3,592.6,469.1,19501
"K",30000,2.5,30000,0.125,1,1e-04,50,0.630732707689124,0.630732707689124,NA,900,0.0567659436920212,0.605,0,0.0351611272843425,0.0694325002213614,0.292631312252283,0.292631312252283,0.886497993699533,66.7,29.3,90.4,42.5,19501
"K",1e+05,2.5,1e+05,0.125,1,1e-04,50,0.964561274062566,0.964561274062566,0.959,3000,0.28936838221877,0.97,0,0.00384016820862226,0.00758316073995624,0.0299989323684314,0.0299989323684314,0.42654518792523,0,0,0,0,19501
"r",0.05,2.5,10000,0.05,1,1e-04,50,0.277301572439983,0.277301572439983,0.266,120,0.0033276188692798,0,0,0.8319643114335,0.484272043226207,0.996053494240806,0.669499674609916,NA,NA,948.2,NA,1172.8,19501
"r",0.1,2.5,10000,0.1,1,1e-04,50,0.277301572439983,0.277301572439983,0.266,240,0.0066552377385596,0.055,0,0.563338042589163,0.585765175326293,0.774044483208667,0.767206577221494,0.664091585949503,NA,474.1,NA,586.4,19501
"r",0.125,2.5,10000,0.125,1,1e-04,50,0.277301572439983,0.277301572439983,0.266,300,0.0083190471731995,0.29,8.4,0.0188577798480812,0.028639279077951,0.0630251197200824,0.0630251197200824,0.99499638018468,462.8,379.3,592.6,469.1,19501
"r",0.2,2.5,10000,0.2,1,1e-04,50,0.277301572439983,0.277301572439983,0.266,480,0.0133104754771192,0.995,0,0.145485275482395,0.287287574858994,0.717698427560017,0.717698427560017,0.909517047065792,0,237.1,0,293.2,19501
"r",0.4,2.5,10000,0.4,1,1e-04,50,0.277301572439983,0.277301572439983,0.266,960,0.0266209509542384,1,0,0.103921252192108,0.205212771121419,0.722698427560017,0.722698427560017,NA,0,118.6,0,146.6,19501
"alpha",1e-05,2.5,10000,0.125,1,1e-05,50,0.277301572439983,0.277301572439983,0.266,300,0.00083190471731995,0.24,11.7,0.0685146137372136,0.0384984790506798,0.125582614107876,0.0525506701106204,0.983791513985259,NA,NA,NA,NA,19501
"alpha",3e-05,2.5,10000,0.125,1,3e-05,50,0.277301572439983,0.277301572439983,0.266,300,0.00249571415195985,0.275,0,0.0235866664108392,0.011376712710245,0.0514947550057228,0.0219889540678043,0.998299743342989,1381.8,1264.3,1699,1563.7,19501
"alpha",1e-04,2.5,10000,0.125,1,1e-04,50,0.277301572439983,0.277301572439983,0.266,300,0.0083190471731995,0.29,8.4,0.0188577798480812,0.028639279077951,0.0630251197200824,0.0630251197200824,0.99499638018468,462.8,379.3,592.6,469.1,19501
"alpha",3e-04,2.5,10000,0.125,1,3e-04,50,0.277301572439983,0.277301572439983,0.266,300,0.0249571415195985,0.225,7.7,0.0264482745391827,0.0521292739945439,0.193492127145585,0.193492127145585,0.996912842047482,147.2,126.5,178.1,156.4,19501
"alpha",0.001,2.5,10000,0.125,1,0.001,50,0.277301572439983,0.277301572439983,0.266,300,0.083190471731995,0.27,0,0.0585723541470199,0.115662531505058,0.545583242274274,0.545583242274274,0.883979516976723,74.6,38,94.9,47,19501
