"varied_parameter","parameter_value","R0","K","r","alpha","tau","minimum_raw_occupancy","minimum_established_occupancy","final_raw_occupancy","final_established_occupancy","mean_difference_raw_minus_established","max_difference_raw_minus_established","time_of_minimum_raw","time_of_minimum_established","number_of_nonmissing_time_points"
"K",1000,2.5,1000,0.125,1e-04,50,0,0,0,0,0.00752756268909287,0.99,121.4,71.4,19501
"K",3000,2.5,3000,0.125,1e-04,50,0.085,0.085,0.18,0.15,0.0260189221065586,0.895,143.1,93,19501
"K",10000,2.5,10000,0.125,1e-04,50,0.295,0.29,1,1,0.0213437772421927,0.71,30.6,8.4,19501
"K",30000,2.5,30000,0.125,1e-04,50,0.615,0.605,1,1,0.00581713758268807,0.395,29.3,0,19501
"K",1e+05,2.5,1e+05,0.125,1e-04,50,0.97,0.97,1,1,0.000405363827496026,0.03,28.1,0,19501
"R0",1.5,1.5,10000,0.125,1e-04,50,1,1,1,1,0,0,0,0,19501
"R0",2,2,10000,0.125,1e-04,50,0.93,0.93,1,1,0.000968155479206194,0.07,30.5,0,19501
"R0",2.5,2.5,10000,0.125,1e-04,50,0.295,0.29,1,1,0.0213437772421927,0.71,30.6,8.4,19501
"R0",3,3,10000,0.125,1e-04,50,0.02,0.02,0.75,0.69,0.0831088149325676,0.98,23.4,0,19501
"R0",4,4,10000,0.125,1e-04,50,0,0,0,0,0.00710707143223425,1,19.5,0,19501
"R0",5,5,10000,0.125,1e-04,50,0,0,0,0,0.00641044049023127,1,16.5,0,19501
"alpha",1e-05,2.5,10000,0.125,1e-05,50,0.245,0.24,0.55,0.535,0.0163427516537613,0.76,31.7,11.7,19501
"alpha",3e-05,2.5,10000,0.125,3e-05,50,0.275,0.275,0.975,0.97,0.0213081380442029,0.725,27.8,0,19501
"alpha",1e-04,2.5,10000,0.125,1e-04,50,0.295,0.29,1,1,0.0213437772421927,0.71,30.6,8.4,19501
"alpha",3e-04,2.5,10000,0.125,3e-04,50,0.235,0.225,1,1,0.0161376339674888,0.775,31.8,7.7,19501
"alpha",0.001,2.5,10000,0.125,0.001,50,0.295,0.27,1,1,0.0114337726270448,0.73,29.4,0,19501
"r",0.05,2.5,10000,0.05,1e-04,50,0,0,0,0,0.00941695297677042,1,29.7,0,19501
"r",0.1,2.5,10000,0.1,1e-04,50,0.055,0.055,0.86,0.79,0.0737013486487872,0.945,33.3,0,19501
"r",0.125,2.5,10000,0.125,1e-04,50,0.295,0.29,1,1,0.0213437772421927,0.71,30.6,8.4,19501
"r",0.2,2.5,10000,0.2,1e-04,50,0.995,0.995,1,1,5.64073637249372e-05,0.005,19.3,0,19501
"r",0.4,2.5,10000,0.4,1e-04,50,1,1,1,1,0,0,0,0,19501
