"combo_id","replicate","simulation_year","mean_occupancy","occupancy_amplitude","observations","complete_year"
"smoke",1,1,0.524931506849315,0.74,365,TRUE
"smoke",1,2,0.279342465753425,0.27,365,TRUE
"smoke",1,3,0.238164383561644,0.325,365,TRUE
"smoke",1,4,0.184178082191781,0.31,365,TRUE
"smoke",1,5,0.167657534246575,0.26,365,TRUE
"smoke",1,6,0.118506849315068,0.175,365,TRUE
"smoke",1,7,0.13741095890411,0.21,365,TRUE
"smoke",1,8,0.117054794520548,0.255,365,TRUE
"smoke",1,9,0.137945205479452,0.355,365,TRUE
"smoke",1,10,0.119617486338798,0.15,366,TRUE
