"combo_id","replicate","patch","episode_id","start_time","end_time","censoring_time","observed_duration","extinction_observed","T0","threshold_multiplier","fadeout_threshold","survived_beyond_threshold","early_extinction","fadeout","right_censored"
"smoke",1,1,1,0,891,3650,891,TRUE,128.684649154444,1.5,193.026973731666,TRUE,FALSE,TRUE,FALSE
"smoke",1,1,2,1425,1426,3650,1,TRUE,128.684649154444,1.5,193.026973731666,FALSE,TRUE,FALSE,FALSE
"smoke",1,1,3,1468,1537,3650,69,TRUE,128.684649154444,1.5,193.026973731666,FALSE,TRUE,FALSE,FALSE
"smoke",1,1,4,1540,1541,3650,1,TRUE,128.684649154444,1.5,193.026973731666,FALSE,TRUE,FALSE,FALSE
"smoke",1,1,5,2285,2288,3650,3,TRUE,128.684649154444,1.5,193.026973731666,FALSE,TRUE,FALSE,FALSE
"smoke",1,1,6,2316,2317,3650,1,TRUE,128.684649154444,1.5,193.026973731666,FALSE,TRUE,FALSE,FALSE
"smoke",1,1,7,2577,2654,3650,77,TRUE,128.684649154444,1.5,193.026973731666,FALSE,TRUE,FALSE,FALSE
"smoke",1,2,1,0,519,3650,519,TRUE,128.684649154444,1.5,193.026973731666,TRUE,FALSE,TRUE,FALSE
"smoke",1,2,2,1514,1585,3650,71,TRUE,128.684649154444,1.5,193.026973731666,FALSE,TRUE,FALSE,FALSE
"smoke",1,2,3,2916,2984,3650,68,TRUE,128.684649154444,1.5,193.026973731666,FALSE,TRUE,FALSE,FALSE
"smoke",1,2,4,3635,NA,3650,15,FALSE,128.684649154444,1.5,193.026973731666,FALSE,FALSE,FALSE,TRUE
"smoke",1,3,1,0,113,3650,113,TRUE,128.684649154444,1.5,193.026973731666,FALSE,TRUE,FALSE,FALSE
"smoke",1,3,2,845,970,3650,125,TRUE,128.684649154444,1.5,193.026973731666,FALSE,TRUE,FALSE,FALSE
"smoke",1,3,3,1137,1210,3650,73,TRUE,128.684649154444,1.5,193.026973731666,FALSE,TRUE,FALSE,FALSE
"smoke",1,3,4,1513,1596,3650,83,TRUE,128.684649154444,1.5,193.026973731666,FALSE,TRUE,FALSE,FALSE
"smoke",1,3,5,2287,2386,3650,99,TRUE,128.684649154444,1.5,193.026973731666,FALSE,TRUE,FALSE,FALSE
"smoke",1,3,6,3416,NA,3650,234,FALSE,128.684649154444,1.5,193.026973731666,TRUE,FALSE,FALSE,TRUE
"smoke",1,4,1,0,595,3650,595,TRUE,128.684649154444,1.5,193.026973731666,TRUE,FALSE,TRUE,FALSE
"smoke",1,4,2,755,831,3650,76,TRUE,128.684649154444,1.5,193.026973731666,FALSE,TRUE,FALSE,FALSE
"smoke",1,4,3,2271,2347,3650,76,TRUE,128.684649154444,1.5,193.026973731666,FALSE,TRUE,FALSE,FALSE
"smoke",1,4,4,2919,2989,3650,70,TRUE,128.684649154444,1.5,193.026973731666,FALSE,TRUE,FALSE,FALSE
"smoke",1,5,1,0,94,3650,94,TRUE,128.684649154444,1.5,193.026973731666,FALSE,TRUE,FALSE,FALSE
"smoke",1,5,2,316,383,3650,67,TRUE,128.684649154444,1.5,193.026973731666,FALSE,TRUE,FALSE,FALSE
"smoke",1,5,3,1521,1603,3650,82,TRUE,128.684649154444,1.5,193.026973731666,FALSE,TRUE,FALSE,FALSE
"smoke",1,5,4,2939,3035,3650,96,TRUE,128.684649154444,1.5,193.026973731666,FALSE,TRUE,FALSE,FALSE
