"patch","extinction_events","recolonization_events","fraction_time_infected","mean_population"
1,7,6,0.206329884357882,2352.23767498478
2,3,3,0.0940353012781497,2568.87522824102
3,4,5,0.18715763846622,2443.72185027389
4,4,3,0.137553256238588,2419.79245283019
5,3,2,0.0596469872185027,2553.98417528911
6,9,10,0.325623858794887,1854.68989653074
7,8,7,0.129640900791236,2258.31710286062
8,7,7,0.0559951308581862,2674.01978088862
9,6,5,0.249239196591601,2149.8530127815
10,7,6,0.256847230675593,1900.56086427267
11,2,2,0.0209981740718198,2844.8438831406
12,7,7,0.106208155812538,2467.62903225806
13,9,9,0.106512477175898,2389.87522824102
14,4,4,0.111685940353013,2432.91844187462
15,8,8,0.108947048082775,2426.73828362751
16,4,5,0.181071211199026,2456.82075471698
17,6,6,0.10438222763238,2402.32318928789
18,6,7,0.21911138161899,2141.62233718807
19,7,7,0.143031040779063,2145.71211199026
20,7,6,0.324710894704808,2194.74376141205
21,10,10,0.115946439440049,2397.10986001217
22,3,2,0.102556299452222,2581.2848447961
23,5,5,0.0654290931223372,2554.08794887401
24,6,6,0.102251978088862,2390.26019476567
25,7,8,0.0842970176506391,2505.01278149726
26,6,7,0.152465003043214,2347.60925136945
27,8,8,0.276628119293974,2109.77510651248
28,9,8,0.340839926962873,1926.54443091905
29,7,7,0.0940353012781497,2340.06968959221
30,9,10,0.165855143031041,2115.51795496044
31,8,7,0.217285453438831,2075.69963481436
32,5,5,0.20785149117468,2313.58429701765
33,12,12,0.179853925745587,2236.08277541083
34,6,6,0.0833840535605599,2552.9692635423
35,7,8,0.0903834449178332,2515.92057212416
36,7,7,0.100730371272063,2343.91205112599
37,7,6,0.127206329884358,1975.85118685332
38,8,8,0.195069993913573,2380.40474741327
39,8,9,0.264759586122946,2014.47595861229
40,8,8,0.283018867924528,1906.93031040779
41,4,4,0.319841752891053,2155.02343274498
42,3,4,0.184418746195983,2462.01795496044
43,8,8,0.132684114424833,2034.06603773585
44,4,4,0.0815581253804017,2611.80188679245
45,5,4,0.278758368837492,2216.37370663421
46,8,8,0.0797321972002435,2564.60651247718
47,7,6,0.336883749239197,2106.10681679854
48,2,2,0.0441265976871576,2664.99695678637
49,3,4,0.244370054777845,2345.55082166768
50,4,3,0.362446743761412,2210.10042604991
51,6,6,0.131162507608034,2314.75532562386
52,8,7,0.264455264759586,2032.79853925746
53,4,4,0.0441265976871576,2653.49391357273
54,5,5,0.181679853925746,2481.47808886184
55,4,4,0.450395617772368,1809.78180158247
56,2,2,0.275410833840536,2511.97139379184
57,6,5,0.368533171028606,1905.70389531345
58,4,4,0.046865489957395,2703.0581253804
59,6,6,0.0973828362751065,2450.33384053561
60,5,5,0.068776628119294,2524.0340839927
61,4,4,0.0465611685940353,2692.33110164334
62,8,8,0.139379184418746,2345.42878880097
63,6,5,0.23950091296409,2035.03134510043
64,6,6,0.152465003043214,2309.54990870359
65,5,4,0.293974437005478,2083.41752891053
66,6,6,0.0888618381010347,2538.11412051126
67,7,7,0.213633597078515,2323.7641509434
68,6,6,0.0870359099208764,2423.24406573341
69,4,3,0.328971393791844,2030.84905660377
70,7,8,0.201765063907486,2115.4327449787
71,5,5,0.412964090079124,1839.61290322581
72,9,9,0.146682897139379,2310.86548995739
73,5,6,0.113816189896531,2487.25076080341
74,7,7,0.512781497261108,1709.65550821668
75,7,6,0.136640292148509,2132.27784540475
76,5,5,0.145161290322581,2263.90170419963
77,5,4,0.0827754108338405,2445.93822276324
78,6,5,0.234936092513694,2172.38009738284
79,7,6,0.134205721241631,2424.97169811321
80,6,6,0.0702982349360925,2501.39653073646
