"varied_parameter","parameter_value","R0","K","r","alpha","step","tau","occupied_patches_raw","occupancy_fraction_raw","occupied_patches_established","patches_with_complete_window","occupancy_fraction_established","global_I"
"R0",1.5,1.5,10000,0.125,1e-04,0,50,200,1,200,200,1,2000
"R0",1.5,1.5,10000,0.125,1e-04,0.1,50,200,1,200,200,1,2102
"R0",1.5,1.5,10000,0.125,1e-04,0.2,50,200,1,200,200,1,2228
"R0",1.5,1.5,10000,0.125,1e-04,0.3,50,200,1,200,200,1,2355
"R0",1.5,1.5,10000,0.125,1e-04,0.4,50,200,1,200,200,1,2479
"R0",1.5,1.5,10000,0.125,1e-04,0.5,50,200,1,200,200,1,2607
"R0",1.5,1.5,10000,0.125,1e-04,0.6,50,200,1,200,200,1,2751
"R0",1.5,1.5,10000,0.125,1e-04,0.7,50,200,1,200,200,1,2911
"R0",1.5,1.5,10000,0.125,1e-04,0.8,50,200,1,200,200,1,3122
"R0",1.5,1.5,10000,0.125,1e-04,0.9,50,200,1,200,200,1,3253
"R0",1.5,1.5,10000,0.125,1e-04,1,50,200,1,200,200,1,3425
"R0",1.5,1.5,10000,0.125,1e-04,1.1,50,200,1,200,200,1,3622
"R0",1.5,1.5,10000,0.125,1e-04,1.2,50,200,1,200,200,1,3834
"R0",1.5,1.5,10000,0.125,1e-04,1.3,50,200,1,200,200,1,4058
"R0",1.5,1.5,10000,0.125,1e-04,1.4,50,200,1,200,200,1,4290
"R0",1.5,1.5,10000,0.125,1e-04,1.5,50,200,1,200,200,1,4503
"R0",1.5,1.5,10000,0.125,1e-04,1.6,50,200,1,200,200,1,4767
"R0",1.5,1.5,10000,0.125,1e-04,1.7,50,200,1,200,200,1,4999
"R0",1.5,1.5,10000,0.125,1e-04,1.8,50,200,1,200,200,1,5235
"R0",1.5,1.5,10000,0.125,1e-04,1.9,50,200,1,200,200,1,5491
"R0",1.5,1.5,10000,0.125,1e-04,2,50,200,1,200,200,1,5762
"R0",1.5,1.5,10000,0.125,1e-04,2.1,50,200,1,200,200,1,6055
"R0",1.5,1.5,10000,0.125,1e-04,2.2,50,200,1,200,200,1,6413
"R0",1.5,1.5,10000,0.125,1e-04,2.3,50,200,1,200,200,1,6766
"R0",1.5,1.5,10000,0.125,1e-04,2.4,50,200,1,200,200,1,7093
"R0",1.5,1.5,10000,0.125,1e-04,2.5,50,200,1,200,200,1,7445
"R0",1.5,1.5,10000,0.125,1e-04,2.6,50,200,1,200,200,1,7859
"R0",1.5,1.5,10000,0.125,1e-04,2.7,50,200,1,200,200,1,8286
"R0",1.5,1.5,10000,0.125,1e-04,2.8,50,200,1,200,200,1,8812
"R0",1.5,1.5,10000,0.125,1e-04,2.9,50,200,1,200,200,1,9275
"R0",1.5,1.5,10000,0.125,1e-04,3,50,200,1,200,200,1,9755
"R0",1.5,1.5,10000,0.125,1e-04,3.1,50,200,1,200,200,1,10267
"R0",1.5,1.5,10000,0.125,1e-04,3.2,50,200,1,200,200,1,10771
"R0",1.5,1.5,10000,0.125,1e-04,3.3,50,200,1,200,200,1,11364
"R0",1.5,1.5,10000,0.125,1e-04,3.4,50,200,1,200,200,1,12028
"R0",1.5,1.5,10000,0.125,1e-04,3.5,50,200,1,200,200,1,12715
"R0",1.5,1.5,10000,0.125,1e-04,3.6,50,200,1,200,200,1,13376
"R0",1.5,1.5,10000,0.125,1e-04,3.7,50,200,1,200,200,1,14122
"R0",1.5,1.5,10000,0.125,1e-04,3.8,50,200,1,200,200,1,14884
"R0",1.5,1.5,10000,0.125,1e-04,3.9,50,200,1,200,200,1,15588
"R0",1.5,1.5,10000,0.125,1e-04,4,50,200,1,200,200,1,16402
"R0",1.5,1.5,10000,0.125,1e-04,4.1,50,200,1,200,200,1,17150
"R0",1.5,1.5,10000,0.125,1e-04,4.2,50,200,1,200,200,1,18094
"R0",1.5,1.5,10000,0.125,1e-04,4.3,50,200,1,200,200,1,19009
"R0",1.5,1.5,10000,0.125,1e-04,4.4,50,200,1,200,200,1,20067
"R0",1.5,1.5,10000,0.125,1e-04,4.5,50,200,1,200,200,1,20938
"R0",1.5,1.5,10000,0.125,1e-04,4.6,50,200,1,200,200,1,21973
"R0",1.5,1.5,10000,0.125,1e-04,4.7,50,200,1,200,200,1,23018
"R0",1.5,1.5,10000,0.125,1e-04,4.8,50,200,1,200,200,1,24168
"R0",1.5,1.5,10000,0.125,1e-04,4.9,50,200,1,200,200,1,25390
"R0",1.5,1.5,10000,0.125,1e-04,5,50,200,1,200,200,1,26635
"R0",1.5,1.5,10000,0.125,1e-04,5.1,50,200,1,200,200,1,28111
"R0",1.5,1.5,10000,0.125,1e-04,5.2,50,200,1,200,200,1,29459
"R0",1.5,1.5,10000,0.125,1e-04,5.3,50,200,1,200,200,1,30849
"R0",1.5,1.5,10000,0.125,1e-04,5.4,50,200,1,200,200,1,32360
"R0",1.5,1.5,10000,0.125,1e-04,5.5,50,200,1,200,200,1,33890
"R0",1.5,1.5,10000,0.125,1e-04,5.6,50,200,1,200,200,1,35480
"R0",1.5,1.5,10000,0.125,1e-04,5.7,50,200,1,200,200,1,37107
"R0",1.5,1.5,10000,0.125,1e-04,5.8,50,200,1,200,200,1,38760
"R0",1.5,1.5,10000,0.125,1e-04,5.9,50,200,1,200,200,1,40498
"R0",1.5,1.5,10000,0.125,1e-04,6,50,200,1,200,200,1,42459
"R0",1.5,1.5,10000,0.125,1e-04,6.1,50,200,1,200,200,1,44522
"R0",1.5,1.5,10000,0.125,1e-04,6.2,50,200,1,200,200,1,46450
"R0",1.5,1.5,10000,0.125,1e-04,6.3,50,200,1,200,200,1,48787
"R0",1.5,1.5,10000,0.125,1e-04,6.4,50,200,1,200,200,1,51006
"R0",1.5,1.5,10000,0.125,1e-04,6.5,50,200,1,200,200,1,53101
"R0",1.5,1.5,10000,0.125,1e-04,6.6,50,200,1,200,200,1,55445
"R0",1.5,1.5,10000,0.125,1e-04,6.7,50,200,1,200,200,1,57826
"R0",1.5,1.5,10000,0.125,1e-04,6.8,50,200,1,200,200,1,60075
"R0",1.5,1.5,10000,0.125,1e-04,6.9,50,200,1,200,200,1,62469
"R0",1.5,1.5,10000,0.125,1e-04,7,50,200,1,200,200,1,64803
"R0",1.5,1.5,10000,0.125,1e-04,7.1,50,200,1,200,200,1,67475
"R0",1.5,1.5,10000,0.125,1e-04,7.2,50,200,1,200,200,1,70062
"R0",1.5,1.5,10000,0.125,1e-04,7.3,50,200,1,200,200,1,72494
"R0",1.5,1.5,10000,0.125,1e-04,7.4,50,200,1,200,200,1,75196
"R0",1.5,1.5,10000,0.125,1e-04,7.5,50,200,1,200,200,1,77883
"R0",1.5,1.5,10000,0.125,1e-04,7.6,50,200,1,200,200,1,80659
