"result_id","varied_parameter","parameter_value","R0","K","r","alpha","tau","occupancy_minimum_time","peak_transient_source_share","transient_source_share_at_minimum","mean_transient_source_share_first500","mean_transient_source_share_total","maximum_transient_I","maximum_persistent_I","maximum_censored_I","ratio_max_transient_to_persistent","integrated_transient_I","integrated_persistent_I","cumulative_transient_pressure","cumulative_persistent_pressure","cumulative_transient_source_share","integrated_I_transient_share","cumulative_share_identity_error"
1,"R0",1.5,1.5,10000,0.125,1e-04,50,0,0,0,0,0,0,177597,0,0,0,121159842.65,0,60.579921325,0,0,0
2,"R0",2,2,10000,0.125,1e-04,50,0,0.07,0.07,0.00305673555467467,0.000764298510520875,21616,340946,0,0.0634000692191725,147047.1,130684297.05,0.07352355,65.342148525,0.0011239439673677,0.0011239439673677,0
3,"R0",2.5,2.5,10000,0.125,1e-04,50,0,0.725656518707878,0.705,0.126626688100315,0.034339290679979,373838,154188,0,2.42455962850546,4012578.7,113416261.1,2.00628935,56.70813055,0.0341703001309905,0.0341703001309905,6.93889390390723e-18
4,"R0",3,3,10000,0.125,1e-04,50,0,0.983500135244793,0.98,0.570058391247914,0.415899868344997,648632,42968,9601,15.0956991249302,18520474.2,30935221.5,9.2602371,15.46761075,0.374486172681623,0.374486172681623,0
5,"R0",4,4,10000,0.125,1e-04,50,0,1,1,1,1,863144,0,0,NA,2184749.6,0,1.0923748,0,1,1,0
6,"R0",5,5,10000,0.125,1e-04,50,0,1,1,1,1,1005302,0,0,NA,2175647.1,0,1.08782355,0,1,1,0
7,"K",1000,2.5,1000,0.125,1e-04,50,121.4,0.988590604026846,NA,NA,0.170459380322479,52232,743,0,70.2987886944818,211731,8713.9,0.1058655,0.00435695,0.960471301445395,0.960471301445395,-1.11022302462516e-16
8,"K",3000,2.5,3000,0.125,1e-04,50,143,0.894357076780759,0.000632911392405063,0.156635491727924,0.160232713519948,141537,17868,1089,7.92125587642713,1562562,4675098.6,0.781281,2.3375493,0.250504492020614,0.250504492020614,0
9,"K",10000,2.5,10000,0.125,1e-04,50,0,0.725656518707878,0.705,0.126626688100315,0.034339290679979,373838,154188,0,2.42455962850546,4012578.7,113416261.1,2.00628935,56.70813055,0.0341703001309905,0.0341703001309905,6.93889390390723e-18
10,"K",30000,2.5,30000,0.125,1e-04,50,0,0.40185873605948,0.395,0.0221578361580424,0.00554028991682266,626865,957107,0,0.654958118580263,3003477.1,368987518.5,1.50173855,184.49375925,0.00807405860767023,0.00807405860767023,0
11,"K",1e+05,2.5,1e+05,0.125,1e-04,50,0,0.0367249731385892,0.03,0.00125405836488024,0.0003135616160575,160161,5145181,0,0.0311283509754079,646432.5,1244439489.45,0.32321625,622.219744725,0.000519187060590634,0.000519187060590634,1.0842021724855e-19
12,"alpha",1e-05,2.5,10000,0.125,1e-05,50,0,0.765222275384327,0.755,0.0597689058508355,0.0348470009146597,397182,128900,3837,3.08131885182312,3096283,50593387.1,0.15481415,2.529669355,0.0576699948841742,0.0576699948841742,0
13,"alpha",3e-05,2.5,10000,0.125,3e-05,50,0,0.734708095304445,0.725,0.101578197093052,0.0406355401827942,384548,144078,2702,2.66902649953497,4121869,90821561.85,0.61828035,13.6232342775,0.0434139462108979,0.0434139462108979,0
14,"alpha",1e-04,2.5,10000,0.125,1e-04,50,0,0.725656518707878,0.705,0.126626688100315,0.034339290679979,373838,154188,0,2.42455962850546,4012578.7,113416261.1,2.00628935,56.70813055,0.0341703001309905,0.0341703001309905,6.93889390390723e-18
15,"alpha",3e-04,2.5,10000,0.125,3e-04,50,0,0.778436033109181,0.77,0.0805434807201474,0.0201388904095524,406661,121978,0,3.33388807817803,2955529,119744138.35,4.4332935,179.616207525,0.0240875062160468,0.0240875062160468,0
16,"alpha",0.001,2.5,10000,0.125,0.001,50,0,0.760524054982818,0.73,0.0422288242924008,0.0105587895748361,387939,140245,0,2.76615209098364,2097527.5,121950039.55,10.4876375,609.75019775,0.0169090579515723,0.0169090579515723,0
17,"r",0.05,2.5,10000,0.05,1e-04,50,0,1,1,1,1,503849,0,0,NA,2001213.7,0,1.00060685,0,1,1,0
18,"r",0.1,2.5,10000,0.1,1e-04,50,0,0.954056411747601,0.945,0.44353756493646,0.287327394781013,493080,42322,14627,11.6506781343037,13570924.6,37618118.9,6.7854623,18.80905945,0.265113853905084,0.265113853905084,5.55111512312578e-17
19,"r",0.125,2.5,10000,0.125,1e-04,50,0,0.725656518707878,0.705,0.126626688100315,0.034339290679979,373838,154188,0,2.42455962850546,4012578.7,113416261.1,2.00628935,56.70813055,0.0341703001309905,0.0341703001309905,6.93889390390723e-18
20,"r",0.2,2.5,10000,0.2,1e-04,50,0,0.00629457600446712,0.005,0.000145886155546327,3.64770093438918e-05,2887,550401,0,0.00524526663287312,11673.4,198757046.5,0.0058367,99.37852325,5.87285565146913e-05,5.87285565146913e-05,6.7762635780344e-21
21,"r",0.4,2.5,10000,0.4,1e-04,50,0,0,0,0,0,0,625639,0,0,0,398064864.35,0,199.032432175,0,0,0
