"step","occupied_patches","occupancy_fraction","varied_parameter","parameter_value","parameter_label"
0,200,1,"R0",1.5,"R0 = 1.5"
0.1,200,1,"R0",1.5,"R0 = 1.5"
0.2,200,1,"R0",1.5,"R0 = 1.5"
0.3,200,1,"R0",1.5,"R0 = 1.5"
0.4,200,1,"R0",1.5,"R0 = 1.5"
0.5,200,1,"R0",1.5,"R0 = 1.5"
0.6,200,1,"R0",1.5,"R0 = 1.5"
0.7,200,1,"R0",1.5,"R0 = 1.5"
0.8,200,1,"R0",1.5,"R0 = 1.5"
0.9,200,1,"R0",1.5,"R0 = 1.5"
1,200,1,"R0",1.5,"R0 = 1.5"
1.1,200,1,"R0",1.5,"R0 = 1.5"
1.2,200,1,"R0",1.5,"R0 = 1.5"
1.3,200,1,"R0",1.5,"R0 = 1.5"
1.4,200,1,"R0",1.5,"R0 = 1.5"
1.5,200,1,"R0",1.5,"R0 = 1.5"
1.6,200,1,"R0",1.5,"R0 = 1.5"
1.7,200,1,"R0",1.5,"R0 = 1.5"
1.8,200,1,"R0",1.5,"R0 = 1.5"
1.9,200,1,"R0",1.5,"R0 = 1.5"
2,200,1,"R0",1.5,"R0 = 1.5"
2.1,200,1,"R0",1.5,"R0 = 1.5"
2.2,200,1,"R0",1.5,"R0 = 1.5"
2.3,200,1,"R0",1.5,"R0 = 1.5"
2.4,200,1,"R0",1.5,"R0 = 1.5"
2.5,200,1,"R0",1.5,"R0 = 1.5"
2.6,200,1,"R0",1.5,"R0 = 1.5"
2.7,200,1,"R0",1.5,"R0 = 1.5"
2.8,200,1,"R0",1.5,"R0 = 1.5"
2.9,200,1,"R0",1.5,"R0 = 1.5"
3,200,1,"R0",1.5,"R0 = 1.5"
3.1,200,1,"R0",1.5,"R0 = 1.5"
3.2,200,1,"R0",1.5,"R0 = 1.5"
3.3,200,1,"R0",1.5,"R0 = 1.5"
3.4,200,1,"R0",1.5,"R0 = 1.5"
3.5,200,1,"R0",1.5,"R0 = 1.5"
3.6,200,1,"R0",1.5,"R0 = 1.5"
3.7,200,1,"R0",1.5,"R0 = 1.5"
3.8,200,1,"R0",1.5,"R0 = 1.5"
3.9,200,1,"R0",1.5,"R0 = 1.5"
4,200,1,"R0",1.5,"R0 = 1.5"
4.1,200,1,"R0",1.5,"R0 = 1.5"
4.2,200,1,"R0",1.5,"R0 = 1.5"
4.3,200,1,"R0",1.5,"R0 = 1.5"
4.4,200,1,"R0",1.5,"R0 = 1.5"
4.5,200,1,"R0",1.5,"R0 = 1.5"
4.6,200,1,"R0",1.5,"R0 = 1.5"
4.7,200,1,"R0",1.5,"R0 = 1.5"
4.8,200,1,"R0",1.5,"R0 = 1.5"
4.9,200,1,"R0",1.5,"R0 = 1.5"
5,200,1,"R0",1.5,"R0 = 1.5"
5.1,200,1,"R0",1.5,"R0 = 1.5"
5.2,200,1,"R0",1.5,"R0 = 1.5"
5.3,200,1,"R0",1.5,"R0 = 1.5"
5.4,200,1,"R0",1.5,"R0 = 1.5"
5.5,200,1,"R0",1.5,"R0 = 1.5"
5.6,200,1,"R0",1.5,"R0 = 1.5"
5.7,200,1,"R0",1.5,"R0 = 1.5"
5.8,200,1,"R0",1.5,"R0 = 1.5"
5.9,200,1,"R0",1.5,"R0 = 1.5"
6,200,1,"R0",1.5,"R0 = 1.5"
6.1,200,1,"R0",1.5,"R0 = 1.5"
6.2,200,1,"R0",1.5,"R0 = 1.5"
6.3,200,1,"R0",1.5,"R0 = 1.5"
6.4,200,1,"R0",1.5,"R0 = 1.5"
6.5,200,1,"R0",1.5,"R0 = 1.5"
6.6,200,1,"R0",1.5,"R0 = 1.5"
6.7,200,1,"R0",1.5,"R0 = 1.5"
6.8,200,1,"R0",1.5,"R0 = 1.5"
6.9,200,1,"R0",1.5,"R0 = 1.5"
7,200,1,"R0",1.5,"R0 = 1.5"
7.1,200,1,"R0",1.5,"R0 = 1.5"
7.2,200,1,"R0",1.5,"R0 = 1.5"
7.3,200,1,"R0",1.5,"R0 = 1.5"
7.4,200,1,"R0",1.5,"R0 = 1.5"
7.5,200,1,"R0",1.5,"R0 = 1.5"
7.6,200,1,"R0",1.5,"R0 = 1.5"
7.7,200,1,"R0",1.5,"R0 = 1.5"
7.8,200,1,"R0",1.5,"R0 = 1.5"
7.9,200,1,"R0",1.5,"R0 = 1.5"
8,200,1,"R0",1.5,"R0 = 1.5"
8.1,200,1,"R0",1.5,"R0 = 1.5"
8.2,200,1,"R0",1.5,"R0 = 1.5"
8.3,200,1,"R0",1.5,"R0 = 1.5"
8.4,200,1,"R0",1.5,"R0 = 1.5"
8.5,200,1,"R0",1.5,"R0 = 1.5"
8.6,200,1,"R0",1.5,"R0 = 1.5"
8.7,200,1,"R0",1.5,"R0 = 1.5"
8.8,200,1,"R0",1.5,"R0 = 1.5"
8.9,200,1,"R0",1.5,"R0 = 1.5"
9,200,1,"R0",1.5,"R0 = 1.5"
9.1,200,1,"R0",1.5,"R0 = 1.5"
9.2,200,1,"R0",1.5,"R0 = 1.5"
9.3,200,1,"R0",1.5,"R0 = 1.5"
9.4,200,1,"R0",1.5,"R0 = 1.5"
9.5,200,1,"R0",1.5,"R0 = 1.5"
9.6,200,1,"R0",1.5,"R0 = 1.5"
9.7,200,1,"R0",1.5,"R0 = 1.5"
9.8,200,1,"R0",1.5,"R0 = 1.5"
9.9,200,1,"R0",1.5,"R0 = 1.5"
10,200,1,"R0",1.5,"R0 = 1.5"
10.1,200,1,"R0",1.5,"R0 = 1.5"
10.2,200,1,"R0",1.5,"R0 = 1.5"
10.3,200,1,"R0",1.5,"R0 = 1.5"
10.4,200,1,"R0",1.5,"R0 = 1.5"
10.5,200,1,"R0",1.5,"R0 = 1.5"
10.6,200,1,"R0",1.5,"R0 = 1.5"
10.7,200,1,"R0",1.5,"R0 = 1.5"
10.8,200,1,"R0",1.5,"R0 = 1.5"
10.9,200,1,"R0",1.5,"R0 = 1.5"
11,200,1,"R0",1.5,"R0 = 1.5"
11.1,200,1,"R0",1.5,"R0 = 1.5"
11.2,200,1,"R0",1.5,"R0 = 1.5"
11.3,200,1,"R0",1.5,"R0 = 1.5"
11.4,200,1,"R0",1.5,"R0 = 1.5"
11.5,200,1,"R0",1.5,"R0 = 1.5"
11.6,200,1,"R0",1.5,"R0 = 1.5"
11.7,200,1,"R0",1.5,"R0 = 1.5"
11.8,200,1,"R0",1.5,"R0 = 1.5"
11.9,200,1,"R0",1.5,"R0 = 1.5"
12,200,1,"R0",1.5,"R0 = 1.5"
12.1,200,1,"R0",1.5,"R0 = 1.5"
12.2,200,1,"R0",1.5,"R0 = 1.5"
12.3,200,1,"R0",1.5,"R0 = 1.5"
12.4,200,1,"R0",1.5,"R0 = 1.5"
12.5,200,1,"R0",1.5,"R0 = 1.5"
12.6,200,1,"R0",1.5,"R0 = 1.5"
12.7,200,1,"R0",1.5,"R0 = 1.5"
12.8,200,1,"R0",1.5,"R0 = 1.5"
12.9,200,1,"R0",1.5,"R0 = 1.5"
13,200,1,"R0",1.5,"R0 = 1.5"
13.1,200,1,"R0",1.5,"R0 = 1.5"
13.2,200,1,"R0",1.5,"R0 = 1.5"
13.3,200,1,"R0",1.5,"R0 = 1.5"
13.4,200,1,"R0",1.5,"R0 = 1.5"
13.5,200,1,"R0",1.5,"R0 = 1.5"
13.6,200,1,"R0",1.5,"R0 = 1.5"
13.7,200,1,"R0",1.5,"R0 = 1.5"
13.8,200,1,"R0",1.5,"R0 = 1.5"
13.9,200,1,"R0",1.5,"R0 = 1.5"
14,200,1,"R0",1.5,"R0 = 1.5"
14.1,200,1,"R0",1.5,"R0 = 1.5"
14.2,200,1,"R0",1.5,"R0 = 1.5"
14.3,200,1,"R0",1.5,"R0 = 1.5"
14.4,200,1,"R0",1.5,"R0 = 1.5"
14.5,200,1,"R0",1.5,"R0 = 1.5"
14.6,200,1,"R0",1.5,"R0 = 1.5"
14.7,200,1,"R0",1.5,"R0 = 1.5"
14.8,200,1,"R0",1.5,"R0 = 1.5"
14.9,200,1,"R0",1.5,"R0 = 1.5"
15,200,1,"R0",1.5,"R0 = 1.5"
15.1,200,1,"R0",1.5,"R0 = 1.5"
15.2,200,1,"R0",1.5,"R0 = 1.5"
15.3,200,1,"R0",1.5,"R0 = 1.5"
15.4,200,1,"R0",1.5,"R0 = 1.5"
15.5,200,1,"R0",1.5,"R0 = 1.5"
15.6,200,1,"R0",1.5,"R0 = 1.5"
15.7,200,1,"R0",1.5,"R0 = 1.5"
15.8,200,1,"R0",1.5,"R0 = 1.5"
15.9,200,1,"R0",1.5,"R0 = 1.5"
16,200,1,"R0",1.5,"R0 = 1.5"
16.1,200,1,"R0",1.5,"R0 = 1.5"
16.2,200,1,"R0",1.5,"R0 = 1.5"
16.3,200,1,"R0",1.5,"R0 = 1.5"
