"varied_parameter","parameter_value","R0","K","r","new_status"
"R0",1.5,1.5,10000,0.125,"postpeak_I1_crossing_not_found_trough_found"
"R0",2,2,10000,0.125,"postpeak_I1_crossing_not_found_trough_found"
"R0",2.5,2.5,10000,0.125,"postpeak_I1_crossing_not_found_trough_found"
"K",3000,2.5,3000,0.125,"postpeak_I1_crossing_not_found_trough_found"
"K",10000,2.5,10000,0.125,"postpeak_I1_crossing_not_found_trough_found"
"K",30000,2.5,30000,0.125,"postpeak_I1_crossing_not_found_trough_found"
"K",1e+05,2.5,1e+05,0.125,"postpeak_I1_crossing_not_found_trough_found"
"r",0.125,2.5,10000,0.125,"postpeak_I1_crossing_not_found_trough_found"
"r",0.2,2.5,10000,0.2,"postpeak_I1_crossing_not_found_trough_found"
"r",0.4,2.5,10000,0.4,"postpeak_I1_crossing_not_found_trough_found"
