"varied_parameter","parameter_value","R0","K","r","I0","old_T_osc","old_T_T","old_integral_I","old_Ibar_T","endpoint_found","endpoint_type","hybrid_status","hybrid_T_T","hybrid_integral_I","hybrid_Ibar_T","I_peak","time_of_I_peak","time_of_first_trough","I_first_trough","I_at_hybrid_T_T","integration_horizon"
"R0",1.5,1.5,10000,0.125,10,27.1111850875619,13.5555925437809,4760.32311867012,351.170419389307,TRUE,"first_trough","success_first_trough",27.4911294702661,8952.30528120032,325.643414938006,822.12594291219,12.126596497999,27.4911294702661,120.010060174392,120.010060174392,50
"R0",2,2,10000,0.125,10,18.9985665875796,9.49928329378981,7623.02960919893,802.484711049993,TRUE,"first_trough","success_first_trough",21.5214014060359,9853.05338141479,457.825826279667,1757.97027549347,6.93725949153498,21.5214014060359,29.0367597730562,29.0367597730562,50
"R0",2.5,2.5,10000,0.125,10,15.5586392480406,7.77931962402032,8863.51312198428,1139.36867880017,TRUE,"first_trough","success_first_trough",21.0822175525708,10161.2200825715,481.980610305031,2556.50283440887,4.95060466857504,21.0822175525708,4.16041970502662,4.16041970502662,50
"R0",3,3,10000,0.125,10,13.5555925437809,6.77779627189047,9395.8545923151,1386.26984574359,TRUE,"I1_crossing","success_I1_crossing",17.5460372629231,10291.9062868243,586.565851457088,3215.17230857489,3.87870977044137,22.302391403363,0.418262600746135,1,50
"R0",4,4,10000,0.125,10,11.2397035696652,5.61985178483258,9736.27629931255,1732.47919555277,TRUE,"I1_crossing","success_I1_crossing",13.1014083777017,10353.3935719438,790.250427546786,4218.76277690763,2.73426367017641,26.5739333880184,0.002054900439881,1,50
"R0",5,5,10000,0.125,10,9.90561030927321,4.9528051546366,9778.85262043016,1974.40688965436,TRUE,"I1_crossing","success_I1_crossing",11.651378425449,10320.6415513745,885.787172514469,4942.85976697016,2.12617901432324,31.9172522090058,5.4151947751169e-06,1,50
"K",1000,2.5,1000,0.125,10,15.5586392480406,7.77931962402032,962.185402759304,123.685032787231,TRUE,"I1_crossing","success_I1_crossing",14.4372571097311,1011.28642554864,70.0469914653669,258.071808515025,3.38443230606904,19.5738996595235,0.397936462552649,1,50
"K",3000,2.5,3000,0.125,10,15.5586392480406,7.77931962402032,2805.2813510841,360.607544960897,TRUE,"first_trough","success_first_trough",20.284536277131,3046.64921085396,150.195654918116,768.699218562175,4.13900074183527,20.284536277131,1.23483648156739,1.23483648156739,50
"K",10000,2.5,10000,0.125,10,15.5586392480406,7.77931962402032,8863.51312198428,1139.36867880017,TRUE,"first_trough","success_first_trough",21.0822175525708,10161.2200825715,481.980610305031,2556.50283440887,4.95060466857504,21.0822175525708,4.16041970502662,4.16041970502662,50
"K",30000,2.5,30000,0.125,10,15.5586392480406,7.77931962402032,24465.6582187731,3144.96117928233,TRUE,"first_trough","success_first_trough",21.813898942085,30489.3503882645,1397.70292643293,7664.94383493353,5.68589372767943,21.813898942085,12.5158704878469,12.5158704878469,50
"K",1e+05,2.5,1e+05,0.125,10,15.5586392480406,7.77931962402032,69638.6463710608,8951.76567318773,TRUE,"first_trough","success_first_trough",22.6165035538659,101638.608872205,4494.00185267945,25545.1607865942,6.48963860692307,22.6165035538659,41.756357143879,41.756357143879,50
"r",0.05,2.5,10000,0.05,10,23.5648216426584,11.7824108213292,9316.94760454636,790.750530246347,TRUE,"I1_crossing","success_I1_crossing",17.9614476092754,9387.27040863639,522.634400792325,2425.41658353777,4.90428921792674,41.3583968798938,0.000703307645616343,1,50
"r",0.1,2.5,10000,0.1,10,17.1403872533621,8.57019362668105,9158.32746921129,1068.62550231062,TRUE,"I1_crossing","success_I1_crossing",23.3677031002147,9890.20021959527,423.242292029309,2512.64750416833,4.93536766292391,24.4023259945754,0.968745987758063,1,50
"r",0.125,2.5,10000,0.125,10,15.5586392480406,7.77931962402032,8863.51312198428,1139.36867880017,TRUE,"first_trough","success_first_trough",21.0822175525708,10161.2200825715,481.980610305031,2556.50283440887,4.95060466857504,21.0822175525708,4.16041970502662,4.16041970502662,50
"r",0.2,2.5,10000,0.2,10,12.8928242146115,6.44641210730576,7650.94972409155,1186.85395794362,TRUE,"first_trough","success_first_trough",16.2118149182645,11005.969811173,678.885730355424,2688.86285584315,4.99522214719027,16.2118149182645,39.1648805908889,39.1648805908889,50
"r",0.4,2.5,10000,0.4,10,10.6205215912211,5.31026079561053,5520.95767640614,1039.6773132065,TRUE,"first_trough","success_first_trough",12.2001655575941,13160.2456665101,1078.69402299368,3047.46653259545,5.10688160383838,12.2001655575941,317.511315966961,317.511315966961,50
