"result_id","varied_parameter","parameter_value","R0","K","r","alpha","gamma","I0","P1","P1_GAM_raw","P1_exact_grid","I_star","I_peak","time_of_I_peak","T_osc","T_osc_approx","c","T_T","integral_I","Ibar_T","Ibar_T_over_I_star","I_peak_over_I_star","oscillation_argument","exact_oscillation_valid","turnover_mapping","p0","q0","q0_source","time_shift","stochastic_persistent_at_shift","stochastic_transient_at_shift","stochastic_total_at_shift","final_p","final_q","final_total","RMSE_one_state_p","RMSE_new_two_state_p","RMSE_new_two_state_total","RMSE_new_two_state_q","RMSE_new_two_state_zero_q0_p","RMSE_new_two_state_zero_q0_total","max_abs_error_one_state_p","max_abs_error_new_two_state_p","correlation_new_two_state_p"
1,"R0",1.5,1.5,10000,0.125,1e-04,1,10,0.999999,1.00345511364029,0.995,277.777777777778,822.126307449136,12.13,27.1111850875619,25.1327412287183,0.5,13.5555925437809,4760.32311867012,351.170419389307,1.26421350980151,2.95965470681689,0.0537109375,TRUE,"mu approximated by logistic growth parameter r; rho = gamma",0.999999,0,"observed episode-classified transient occupancy at raw minimum",0,1,0,1,0.999999999999993,2.50828754801468e-21,0.999999999999993,9.65549579832493e-08,9.65549716732648e-08,9.65549452544816e-08,3.10356788874413e-14,9.65549716732648e-08,9.65549452544816e-08,1.00000000002876e-06,1.00000000002876e-06,NA
2,"R0",2,2,10000,0.125,1e-04,1,10,0.892833624295897,0.892833624295897,0.895,312.5,1757.97342088587,6.94,18.9985665875796,17.7715317526335,0.5,9.49928329378981,7623.02960919893,802.484711049993,2.56795107535998,5.62551494683477,0.109375,TRUE,"mu approximated by logistic growth parameter r; rho = gamma",0.892833624295897,0,"observed episode-classified transient occupancy at raw minimum",30.5,0.93,0,0.93,0.999999999999993,2.08803914014299e-16,0.999999999999993,0.00410305333239312,0.00400564753965977,0.0038761272383146,0.000907870088206436,0.00400564753965977,0.0038761272383146,0.0371663757041029,0.0371663757041027,0.932155108458429
3,"R0",2.5,2.5,10000,0.125,1e-04,1,10,0.277301572439983,0.277301572439983,0.266,300,2556.5066614152,4.95,15.5586392480406,14.5103949138737,0.5,7.77931962402032,8863.51312198428,1139.36867880017,3.79789559600057,8.52168887138399,0.1630859375,TRUE,"mu approximated by logistic growth parameter r; rho = gamma",0.277301572439983,0,"observed episode-classified transient occupancy at raw minimum",30.6,0.29,0,0.295,0.999998480113354,2.3016768647298e-07,0.999998710281041,0.0257856786567256,0.019878543552296,0.0190381207117014,0.0146514733673317,0.019878543552296,0.0190381207117014,0.0825324459353065,0.0652068308964547,0.994279813433954
4,"R0",3,3,10000,0.125,1e-04,1,10,0.0313641631959488,0.0313641631959488,0.026,277.777777777778,3215.18588804854,3.88,13.5555925437809,12.5663706143592,0.5,6.77779627189047,9395.8545923151,1386.26984574359,4.99057144467694,11.5746691969748,0.21484375,TRUE,"mu approximated by logistic growth parameter r; rho = gamma",0.0313641631959488,0,"observed episode-classified transient occupancy at raw minimum",23.4,0.02,0,0.02,0.630540084724629,0.0516884394900485,0.682228524214677,0.249612365161095,0.0867945503675801,0.0832359937629584,0.0284309832627194,0.0867945503675801,0.0832359937629584,0.5422241439726,0.151133477887476,0.964529600933294
5,"R0",4,4,10000,0.125,1e-04,1,10,1e-06,-0.000165456629839467,0,234.375,4218.78424826923,2.73,11.2397035696652,10.2603986412949,0.5,5.61985178483258,9736.27629931255,1732.47919555277,7.39191123435848,18.0001461259487,0.3125,TRUE,"mu approximated by logistic growth parameter r; rho = gamma",1e-06,0,"observed episode-classified transient occupancy at raw minimum",19.5,0,0,0,1.00153190242359e-06,4.99924211720093e-06,6.00077401962452e-06,1.00002228819805e-06,1.00068161096384e-06,5.53632158863534e-06,4.55730332908593e-06,1.00068161096384e-06,5.53632158863534e-06,1.00004524707212e-06,1.00153190242359e-06,NA
6,"R0",5,5,10000,0.125,1e-04,1,10,0.000111292387120154,0.000111292387120154,0,200,4942.91182488119,2.13,9.90561030927321,8.88576587631673,0.5,4.9528051546366,9778.85262043016,1974.40688965436,9.87203444827182,24.714559124406,0.40234375,TRUE,"mu approximated by logistic growth parameter r; rho = gamma",0.000111292387120154,0,"observed episode-classified transient occupancy at raw minimum",16.5,0,0,0,0.00013128048628694,0.000556319309718201,0.000687599796005141,0.000111528653397959,0.000120096755024978,0.000589602756737538,0.000471682088711246,0.000120096755024978,0.000589602756737538,0.000111772332051378,0.00013128048628694,NA
7,"K",1000,2.5,1000,0.125,1e-04,1,10,0.00504118774791262,0.00504118774791262,0.003,30,258.072182007757,3.38,15.5586392480406,14.5103949138737,0.5,7.77931962402032,962.185402759304,123.685032787231,4.12283442624104,8.60240606692524,0.1630859375,TRUE,"mu approximated by logistic growth parameter r; rho = gamma",0.00504118774791262,0,"observed episode-classified transient occupancy at raw minimum",121.4,0,0,0,0.00519674787598786,0.000132640386937838,0.0053293882629257,0.00511014096972278,0.00511740953350435,0.00524739349975486,0.000130132377280866,0.00511740953350435,0.00524739349975486,0.00518181466787583,0.00519674787598786,NA
8,"K",3000,2.5,3000,0.125,1e-04,1,10,0.0726837122358446,0.0726837122358446,NA,90,768.700958683063,4.14,15.5586392480406,14.5103949138737,0.5,7.77931962402032,2805.2813510841,360.607544960897,4.00675049956552,8.54112176314515,0.1630859375,TRUE,"mu approximated by logistic growth parameter r; rho = gamma",0.0726837122358446,0,"observed episode-classified transient occupancy at raw minimum",143.1,0.085,0,0.085,0.258117984594306,0.0149758506543886,0.273093835248694,0.0192608047432344,0.0428058305303714,0.0396857863120932,0.010874375603586,0.0428058305303714,0.0396857863120932,0.0535605525607458,0.108117984594306,0.934493113718377
9,"K",10000,2.5,10000,0.125,1e-04,1,10,0.277301572439983,0.277301572439983,0.266,300,2556.5066614152,4.95,15.5586392480406,14.5103949138737,0.5,7.77931962402032,8863.51312198428,1139.36867880017,3.79789559600057,8.52168887138399,0.1630859375,TRUE,"mu approximated by logistic growth parameter r; rho = gamma",0.277301572439983,0,"observed episode-classified transient occupancy at raw minimum",30.6,0.29,0,0.295,0.999998480113354,2.3016768647298e-07,0.999998710281041,0.0257856786567256,0.019878543552296,0.0190381207117014,0.0146514733673317,0.019878543552296,0.0190381207117014,0.0825324459353065,0.0652068308964547,0.994279813433954
10,"K",30000,2.5,30000,0.125,1e-04,1,10,0.630732707689124,0.630732707689124,NA,900,7664.95961080767,5.69,15.5586392480406,14.5103949138737,0.5,7.77931962402032,24465.6582187731,3144.96117928233,3.4944013103137,8.5166217897863,0.1630859375,TRUE,"mu approximated by logistic growth parameter r; rho = gamma",0.630732707689124,0.005,"observed episode-classified transient occupancy at raw minimum",29.3,0.61,0.005,0.615,0.999999999999996,8.21053099212722e-16,0.999999999999997,0.00774510350267089,0.00617153298964152,0.0059446508478496,0.00417232949919648,0.00615976833772899,0.00573547372653058,0.0598040584135456,0.062249590425051,0.986915157975282
11,"K",1e+05,2.5,1e+05,0.125,1e-04,1,10,0.964561274062566,0.964561274062566,0.959,3000,25545.1849645991,6.49,15.5586392480406,14.5103949138737,0.5,7.77931962402032,69638.6463710608,8951.76567318773,2.98392189106258,8.51506165486636,0.1630859375,TRUE,"mu approximated by logistic growth parameter r; rho = gamma",0.964561274062566,0,"observed episode-classified transient occupancy at raw minimum",28.1,0.97,0,0.97,0.999999999999999,5.08852139629031e-17,0.999999999999999,0.00154264867802321,0.00150890119278696,0.00143197560494096,0.000302604371249261,0.00150890119278696,0.00143197560494096,0.0263841835977521,0.0258533927457341,0.807764764722484
12,"alpha",1e-05,2.5,10000,0.125,1e-05,1,10,0.277301572439983,0.277301572439983,0.266,300,2556.5066614152,4.95,15.5586392480406,14.5103949138737,0.5,7.77931962402032,8863.51312198428,1139.36867880017,3.79789559600057,8.52168887138399,0.1630859375,TRUE,"mu approximated by logistic growth parameter r; rho = gamma",0.277301572439983,0,"observed episode-classified transient occupancy at raw minimum",31.7,0.24,0,0.245,0.663768935811644,0.00381124805463115,0.667580183866275,0.064099389337994,0.0705147941096914,0.0666601233818007,0.00686234161751003,0.0705147941096914,0.0666601233818007,0.121698450988222,0.131197304523372,0.984330881959147
13,"alpha",3e-05,2.5,10000,0.125,3e-05,1,10,0.277301572439983,0.277301572439983,0.266,300,2556.5066614152,4.95,15.5586392480406,14.5103949138737,0.5,7.77931962402032,8863.51312198428,1139.36867880017,3.79789559600057,8.52168887138399,0.1630859375,TRUE,"mu approximated by logistic growth parameter r; rho = gamma",0.277301572439983,0,"observed episode-classified transient occupancy at raw minimum",27.8,0.275,0,0.275,0.979950318653198,0.000967035398932093,0.98091735405213,0.0217622994713377,0.0290348408092782,0.0273529315880895,0.0107803466152963,0.0290348408092782,0.0273529315880895,0.0454457197968746,0.0551563297428487,0.997369559200529
14,"alpha",1e-04,2.5,10000,0.125,1e-04,1,10,0.277301572439983,0.277301572439983,0.266,300,2556.5066614152,4.95,15.5586392480406,14.5103949138737,0.5,7.77931962402032,8863.51312198428,1139.36867880017,3.79789559600057,8.52168887138399,0.1630859375,TRUE,"mu approximated by logistic growth parameter r; rho = gamma",0.277301572439983,0,"observed episode-classified transient occupancy at raw minimum",30.6,0.29,0,0.295,0.999998480113354,2.3016768647298e-07,0.999998710281041,0.0257856786567256,0.019878543552296,0.0190381207117014,0.0146514733673317,0.019878543552296,0.0190381207117014,0.0825324459353065,0.0652068308964547,0.994279813433954
