"result_id","varied_parameter","parameter_value","R0","K","r","alpha","gamma","I0","P1","P1_raw","P1_exact_grid","P1_source","I_star","I_peak","time_of_I_peak","duration_method","endpoint_type","endpoint_status","I_first_trough","time_of_first_trough","T_osc","T_osc_approx","c","T_T","integral_I","Ibar_T","Ibar_T_over_I_star","I_peak_over_I_star","oscillation_argument","exact_oscillation_valid","turnover_mapping","p0","q0","q0_source","time_shift","stochastic_persistent_at_shift","stochastic_transient_at_shift","stochastic_total_at_shift","final_p","final_q","final_total","RMSE_one_state_p","RMSE_new_two_state_p","RMSE_new_two_state_total","RMSE_new_two_state_q","RMSE_new_two_state_zero_q0_p","RMSE_new_two_state_zero_q0_total","max_abs_error_one_state_p","max_abs_error_new_two_state_p","correlation_new_two_state_p"
1,"R0",1.5,1.5,10000,0.125,1e-04,1,10,0.979,0.979,0.979,"empirical_exact_grid",277.777777777778,822.12594291219,12.126596497999,"I1_or_first_trough","first_trough","success_first_trough",120.010060174392,27.4911294702661,27.1111850875619,NA,NA,27.4911294702661,8952.30528120032,325.643414938006,1.17231629377682,2.95965339448388,NA,TRUE,"normalized logistic deterministic invasion; hybrid endpoint",0.979,0,"observed episode-classified transient occupancy at raw minimum",0,1,0,1,0.999999999999993,1.08643060174784e-16,0.999999999999993,0.00206385624445975,0.00207319509987082,0.00205443915957067,2.47178250641816e-05,0.00207319509987082,0.00205443915957067,0.0209999999999999,0.021,NA
2,"R0",2,2,10000,0.125,1e-04,1,10,0.905,0.905,0.905,"empirical_exact_grid",312.5,1757.97027549347,6.93725949153498,"I1_or_first_trough","first_trough","success_first_trough",29.0367597730562,21.5214014060359,18.9985665875796,NA,NA,21.5214014060359,9853.05338141479,457.825826279667,1.46504264409493,5.6255048815791,NA,TRUE,"normalized logistic deterministic invasion; hybrid endpoint",0.905,0,"observed episode-classified transient occupancy at raw minimum",30.5,0.93,0,0.93,0.999999999999993,4.13379265731073e-16,0.999999999999994,0.00382760692705496,0.00355108151928189,0.00361491275824564,0.000937840318783399,0.00355108151928189,0.00361491275824564,0.0250000000000001,0.025,0.934659001713726
3,"R0",2.5,2.5,10000,0.125,1e-04,1,10,0.316,0.316,0.316,"empirical_exact_grid",300,2556.50283440887,4.95060466857504,"I1_or_first_trough","first_trough","success_first_trough",4.16041970502662,21.0822175525708,15.5586392480406,NA,NA,21.0822175525708,10161.2200825715,481.980610305031,1.6066020343501,8.52167611469623,NA,TRUE,"normalized logistic deterministic invasion; hybrid endpoint",0.316,0,"observed episode-classified transient occupancy at raw minimum",30.6,0.29,0,0.295,0.999994888999013,1.70173520735655e-06,0.999996590734221,0.0273353265011216,0.0195932901491209,0.0254662283680919,0.0117425531384961,0.0195932901491209,0.0254662283680919,0.0856795429547519,0.0611438833084112,0.996116520303579
4,"R0",3,3,10000,0.125,1e-04,1,10,0.031,0.031,0.031,"empirical_exact_grid",277.777777777778,3215.17230857489,3.87870977044137,"I1_or_first_trough","I1_crossing","success_I1_crossing",0.418262600746135,22.302391403363,13.5555925437809,NA,NA,17.5460372629231,10291.9062868243,586.565851457088,2.11163706524552,11.5746203108696,NA,TRUE,"normalized logistic deterministic invasion; hybrid endpoint",0.031,0,"observed episode-classified transient occupancy at raw minimum",23.4,0.02,0,0.02,0.53228852426467,0.129570103142123,0.661858627406793,0.251466755709585,0.0698304848818637,0.111742211096425,0.0720333107991406,0.0698304848818637,0.111742211096425,0.546152068025356,0.157828816011312,0.969482996481525
5,"R0",4,4,10000,0.125,1e-04,1,10,1e-06,0,0,"empirical_exact_grid",234.375,4218.76277690763,2.73426367017641,"I1_or_first_trough","I1_crossing","success_I1_crossing",0.002054900439881,26.5739333880184,11.2397035696652,NA,NA,13.1014083777017,10353.3935719438,790.250427546786,3.37173515753295,18.0000545148059,NA,TRUE,"normalized logistic deterministic invasion; hybrid endpoint",1e-06,0,"observed episode-classified transient occupancy at raw minimum",19.5,0,0,0,1.04397839259939e-06,0.00151211096956091,0.00151315494795351,1.00002228819805e-06,1.00758489409008e-06,0.000459090200822634,0.00045847541618106,1.00758489409008e-06,0.000459090200822634,1.00004524707212e-06,1.04397839259939e-06,NA
6,"R0",5,5,10000,0.125,1e-04,1,10,1e-06,0,0,"empirical_exact_grid",200,4942.85976697016,2.12617901432324,"I1_or_first_trough","I1_crossing","success_I1_crossing",5.4151947751169e-06,31.9172522090058,9.90561030927321,NA,NA,11.651378425449,10320.6415513745,885.787172514469,4.42893586257234,24.7142988348508,NA,TRUE,"normalized logistic deterministic invasion; hybrid endpoint",1e-06,0,"observed episode-classified transient occupancy at raw minimum",16.5,0,0,0,1.04538024150325e-06,0.00141564019909833,0.00141668557933983,1.00001904390125e-06,1.00770207150697e-06,0.000425551521526583,0.000424941804030823,1.00770207150697e-06,0.000425551521526583,1.00003867070902e-06,1.04538024150325e-06,NA
7,"K",1000,2.5,1000,0.125,1e-04,1,10,1e-06,0,0,"empirical_exact_grid",30,258.071808515025,3.38443230606904,"I1_or_first_trough","I1_crossing","success_I1_crossing",0.397936462552649,19.5738996595235,15.5586392480406,NA,NA,14.4372571097311,1011.28642554864,70.0469914653669,2.33489971551223,8.60239361716751,NA,TRUE,"normalized logistic deterministic invasion; hybrid endpoint",1e-06,0,"observed episode-classified transient occupancy at raw minimum",121.4,0,0,0,1.00000609757647e-06,4.81847975838904e-08,1.04819089516036e-06,1.00000269631193e-06,1.00000299429538e-06,1.04772466460385e-06,4.78295078153374e-08,1.00000299429538e-06,1.04772466460385e-06,1.00000548580956e-06,1.00000609757647e-06,NA
8,"K",3000,2.5,3000,0.125,1e-04,1,10,0.0667020717532629,0.0667020717532629,NA,"two_dimensional_r_slice_GAM",90,768.699218562175,4.13900074183527,"I1_or_first_trough","first_trough","success_first_trough",1.23483648156739,20.284536277131,15.5586392480406,NA,NA,20.284536277131,3046.64921085396,150.195654918116,1.66884061020129,8.54110242846861,NA,TRUE,"normalized logistic deterministic invasion; hybrid endpoint",0.0667020717532629,0,"observed episode-classified transient occupancy at raw minimum",143.1,0.085,0,0.085,0.220891666055564,0.0352024749915159,0.25609414104708,0.0165879794141972,0.0262576788910805,0.0333099918465033,0.0137675429089036,0.0262576788910805,0.0333099918465033,0.0387533780142017,0.0708916660555635,0.933880340328906
9,"K",10000,2.5,10000,0.125,1e-04,1,10,0.316,0.316,0.316,"empirical_exact_grid",300,2556.50283440887,4.95060466857504,"I1_or_first_trough","first_trough","success_first_trough",4.16041970502662,21.0822175525708,15.5586392480406,NA,NA,21.0822175525708,10161.2200825715,481.980610305031,1.6066020343501,8.52167611469623,NA,TRUE,"normalized logistic deterministic invasion; hybrid endpoint",0.316,0,"observed episode-classified transient occupancy at raw minimum",30.6,0.29,0,0.295,0.999994888999013,1.70173520735655e-06,0.999996590734221,0.0273353265011216,0.0195932901491209,0.0254662283680919,0.0117425531384961,0.0195932901491209,0.0254662283680919,0.0856795429547519,0.0611438833084112,0.996116520303579
10,"K",30000,2.5,30000,0.125,1e-04,1,10,0.64021718695684,0.64021718695684,NA,"two_dimensional_r_slice_GAM",900,7664.94383493353,5.68589372767943,"I1_or_first_trough","first_trough","success_first_trough",12.5158704878469,21.813898942085,15.5586392480406,NA,NA,21.813898942085,30489.3503882645,1397.70292643293,1.55300325159215,8.51660426103726,NA,TRUE,"normalized logistic deterministic invasion; hybrid endpoint",0.64021718695684,0.005,"observed episode-classified transient occupancy at raw minimum",29.3,0.61,0.005,0.615,0.999999999999995,2.2519355478486e-15,0.999999999999997,0.00835695178381706,0.00477737910615936,0.00709424944627634,0.00620088787420052,0.00474320190372076,0.00686320366472865,0.0692799010900391,0.0674272538244369,0.990481301805875
