"strain","dod","gene_ratio"
"IP1638",3,100
"IP1638",3,100
"IP1638",3,100
"IP1638",3,100
"IP1638",3,100
"IP1638",3,100
"IP1638",3,100
"IP1638",4,100
"IP1638",4,100
"IP1638",5,100
"IP1638",5,100
"IP1638",6,100
"IP1638",6,100
"IP1638",7,100
"IP1640",3,9.1
"IP1640",4,9.1
"IP1640",4,9.1
"IP1640",4,9.1
"IP1640",4,9.1
"IP1640",5,9.1
"IP1640",6,9.1
"IP1640",6,9.1
"IP1640",6,9.1
"IP1640",8,9.1
"IP1640",8,9.1
"IP1640",14,9.1
"IP1640",15,9.1
"IP1640",20,9.1
"IP1642",4,8.3
"IP1642",4,8.3
"IP1642",4,8.3
"IP1642",4,8.3
"IP1642",5,8.3
"IP1642",5,8.3
"IP1642",5,8.3
"IP1642",5,8.3
"IP1642",6,8.3
"IP1642",6,8.3
"IP1642",7,8.3
"IP1642",20,8.3
"IP1642",20,8.3
"IP1642",20,8.3
"IP1643",3,35.5
"IP1643",3,35.5
"IP1643",3,35.5
"IP1643",4,35.5
"IP1643",5,35.5
"IP1643",5,35.5
"IP1643",6,35.5
"IP1643",7,35.5
"IP1643",7,35.5
"IP1643",7,35.5
"IP1643",7,35.5
"IP1643",8,35.5
"IP1643",11,35.5
"IP1643",13,35.5
"Pla-D206A",6,0
"Pla-D206A",20,0
"Pla-D206A",20,0
"Pla-D206A",20,0
"Pla-D206A",20,0
"Pla-D206A",20,0
"Pla-D206A",20,0
"Pla-D206A",20,0
"Pla-D206A",20,0
"Pla-D206A",20,0
"Pla-D206A",20,0
"Pla-D206A",20,0
"Pla-D206A",20,0
"Pla-D206A",20,0
