"R01","R02","boundary_event","entry_case","Q1","Q2","surv1","surv2","both_burnout","strain1_only_burnout","strain2_only_burnout","neither_burnout","error_message"
1.2,1.2,"yes","both_strains_reentered_same_step",0.240164473203149,0.240164473203149,0.759835526796851,0.759835526796851,0.0576789741889462,0.182485499014203,0.182485499014203,0.577350027782648,NA
1.2,1.21,"yes","strain1_first_strain2_later",0.676078636590022,0.317273656292973,0.323921363409978,0.682726343707027,0.214501940972484,0.461576695617538,0.102771715320488,0.221149648089489,NA
1.2,1.22,"yes","strain1_first_strain2_later",0.912264415797395,0.447297119647302,0.0877355842026046,0.552702880352698,0.408053245542904,0.504211170254491,0.0392438741043984,0.0484917100982062,NA
1.2,1.23,"yes","strain1_first_strain2_later",0.979814329497987,0.586337482400491,0.0201856705020131,0.413662517599509,0.574501867177774,0.405312462320213,0.0118356152227162,0.00835005527929691,NA
1.2,1.24,"yes","strain1_first_strain2_later",0.995379829286675,0.700217126423747,0.00462017071332488,0.299782873576253,0.696982003763276,0.298397825523399,0.0032351226604715,0.00138504805285338,NA
1.2,1.25,"yes","strain1_first_strain2_later",0.998873580219377,0.780248222373209,0.00112641978062311,0.219751777626791,0.779369335341731,0.219504244877645,0.000878887031477202,0.000247532749145909,NA
1.2,1.26,"yes","strain1_first_strain2_later",0.999696194879415,0.831136897610808,0.000303805120585032,0.168863102389192,0.830884393965407,0.168811800914008,0.000252503645401321,5.13014751837111e-05,NA
1.2,1.27,"yes","strain2_reentered_before_strain1_escaped",0.99913302205523,0.366480614077526,0.000866977944769975,0.633519385922474,0.366162883467935,0.632970138587295,0.000317730609590972,0.000549247335179004,NA
1.2,1.28,"yes","strain2_reentered_before_strain1_escaped",0.999695551125773,0.412678013436111,0.000304448874227425,0.587321986563889,0.412552374079502,0.587143177046271,0.000125639356609034,0.000178809517618391,NA
1.2,1.29,"yes","strain2_reentered_before_strain1_escaped",0.999890327030658,0.456966978592087,0.000109672969342389,0.543033021407913,0.456916861666654,0.542973465364004,5.01169254336142e-05,5.9556043908775e-05,NA
1.2,1.3,"yes","strain2_reentered_before_strain1_escaped",0.999959488235372,0.498764617057288,4.05117646280484e-05,0.501235382942712,0.498744411222517,0.501215077012855,2.02058347710235e-05,2.03059298570249e-05,NA
1.2,1.31,"yes","strain2_reentered_before_strain1_escaped",0.999984670043755,0.537831851177434,1.53299562447584e-05,0.462168148822566,0.537823606238689,0.462161063805067,8.24493874558748e-06,7.08501749917093e-06,NA
1.2,1.32,"yes","strain2_reentered_before_strain1_escaped",0.999994064042657,0.574123293839181,5.93595734299512e-06,0.425876706160819,0.574119885867799,0.425874178174858,3.40797138184923e-06,2.52798596114589e-06,NA
1.2,1.33,"yes","strain2_reentered_before_strain1_escaped",0.999997650667309,0.607699175870012,2.34933269105397e-06,0.392300824129988,0.607697748182472,0.392299902484837,1.42768754019798e-06,9.21645150855996e-07,NA
1.2,1.34,"yes","strain2_reentered_before_strain1_escaped",0.999999050602447,0.638674690514797,9.49397553240416e-07,0.361325309485203,0.638674084158608,0.361324966443838,6.06356188491328e-07,3.43041364749088e-07,NA
1.2,1.35,"yes","strain2_reentered_before_strain1_escaped",0.999999608629733,0.66719234235761,3.91370267416313e-07,0.33280765764239,0.667192081238365,0.332807527391368,2.61119245446614e-07,1.30251021969699e-07,NA
1.2,1.36,"yes","strain2_reentered_before_strain1_escaped",0.999999835566174,0.693406132851412,1.6443382633291e-07,0.306593867148588,0.693406018831989,0.306593816734185,1.14019423627464e-07,5.04144027054463e-08,NA
1.2,1.37,"yes","strain2_reentered_before_strain1_escaped",0.999999929640558,0.717473133907941,7.03594420503606e-08,0.282526866092059,0.717473083426931,0.282526846213627,5.04810093878864e-08,1.98784326624742e-08,NA
1.2,1.38,"yes","strain2_reentered_before_strain1_escaped",0.999999969360652,0.739548073065225,3.06393475035804e-08,0.260451926934775,0.739548050405954,0.260451918954698,2.26592704062487e-08,7.98007709733173e-09,NA
1.2,1.39,"yes","strain2_reentered_before_strain1_escaped",0.999999986429715,0.759780734482629,1.35702854509034e-08,0.240219265517371,0.759780724172188,0.240219262257527,1.03104414470264e-08,3.25984400387709e-09,NA
1.2,1.4,"yes","strain2_reentered_before_strain1_escaped",0.999999993890576,0.778314558800028,6.10942441081619e-09,0.221685441199972,0.778314554044974,0.221685439845601,4.75505396482652e-09,1.35437044598966e-09,NA
1.2,1.41,"yes","strain2_reentered_before_strain1_escaped",0.999999997205629,0.795285293898885,2.79437084582668e-09,0.204714706101115,0.795285291676563,0.204714705529067,2.22232203938574e-09,5.72048806440933e-10,NA
1.2,1.42,"yes","strain2_reentered_before_strain1_escaped",0.999999998702137,0.810820511588989,1.29786292824008e-09,0.189179488411011,0.810820510536655,0.189179488165482,1.052333883448e-09,2.45529044792075e-10,NA
1.2,1.43,"yes","strain2_reentered_before_strain1_escaped",0.99999999938816,0.825039611719672,6.11840245134943e-10,0.174960388280328,0.82503961121488,0.17496038817328,5.04792438280602e-10,1.0704780685434e-10,NA
1.2,1.44,"yes","strain2_reentered_before_strain1_escaped",0.999999999707365,0.838054068057815,2.92634805276748e-10,0.161945931942185,0.838054067812571,0.161945931894794,2.45243789017485e-10,4.73910162592629e-11,NA
1.2,1.45,"yes","strain2_reentered_before_strain1_escaped",0.999999999858055,0.849966884533101,1.4194490027819e-10,0.150033115466899,0.849966884412453,0.150033115445602,1.20648464664815e-10,2.12964356133751e-11,NA
1.2,1.46,"yes","strain2_reentered_before_strain1_escaped",0.9999999999302,0.860873316348979,6.98001656473934e-11,0.139126683651021,0.86087331628889,0.13912668364131,6.00891000825797e-11,9.71106556481378e-12,NA
1.2,1.47,"yes","strain2_reentered_before_strain1_escaped",0.999999999965216,0.870861065188538,3.47841755399259e-11,0.129138934811462,0.870861065158246,0.12913893480697,3.02921841624049e-11,4.49199137752092e-12,NA
1.2,1.48,"yes","strain2_reentered_before_strain1_escaped",0.999999999982439,0.880010882698623,1.75607306474035e-11,0.119989117301377,0.88001088268317,0.11998911729927,1.54536340778543e-11,2.10709656954918e-12,NA
