"step","occupied_patches","global_I","local_extinctions","recolonizations"
0,200,27514,0,0
0.1,200,29592,0,0
0.2,200,31756,0,0
0.3,200,34165,0,0
0.4,200,36849,0,0
0.5,200,39733,0,0
0.6,200,43015,0,0
0.7,200,46795,0,0
0.8,200,51012,0,0
0.9,200,55594,0,0
1,200,60979,0,0
1.1,200,66525,0,0
1.2,200,73002,0,0
1.3,200,80155,0,0
1.4,200,88321,0,0
1.5,200,96944,0,0
1.6,200,106238,0,0
1.7,200,116726,0,0
1.8,200,127919,0,0
1.9,200,140160,0,0
2,200,153275,0,0
2.1,200,167354,0,0
2.2,200,182203,0,0
2.3,200,197717,0,0
2.4,200,213491,0,0
2.5,200,229813,0,0
2.6,200,246291,0,0
2.7,200,262310,0,0
2.8,200,278390,0,0
2.9,200,293622,0,0
3,200,307680,0,0
3.1,200,320571,0,0
3.2,200,331938,0,0
3.3,200,341403,0,0
3.4,200,348560,0,0
3.5,200,354151,0,0
3.6,200,357572,0,0
3.7,200,359078,0,0
3.8,200,358578,0,0
3.9,200,356147,0,0
4,200,352502,0,0
4.1,200,347171,0,0
4.2,200,340559,0,0
4.3,200,332709,0,0
4.4,200,324515,0,0
4.5,200,314838,0,0
4.6,200,304484,0,0
4.7,200,294156,0,0
4.8,200,283452,0,0
4.9,200,272587,0,0
5,200,261532,0,0
5.1,200,250433,0,0
5.2,200,239486,0,0
5.3,200,229010,0,0
5.4,200,218517,0,0
5.5,200,208385,0,0
5.6,200,198687,0,0
5.7,200,189504,0,0
5.8,200,180476,0,0
5.9,200,171653,0,0
6,200,163072,0,0
6.1,200,155344,0,0
6.2,200,147832,0,0
6.3,200,140857,0,0
6.4,200,134047,0,0
6.5,200,127643,0,0
6.6,200,121514,0,0
6.7,200,115553,0,0
6.8,200,109773,0,0
6.9,200,104503,0,0
7,200,99433,0,0
7.1,200,94455,0,0
7.2,200,89869,0,0
7.3,200,85480,0,0
7.4,200,81593,0,0
7.5,200,77642,0,0
7.6,200,74024,0,0
7.7,200,70769,0,0
7.8,200,67515,0,0
7.9,200,64381,0,0
8,200,61422,0,0
8.1,200,58601,0,0
8.2,200,56076,0,0
8.3,200,53538,0,0
8.4,200,51218,0,0
8.5,200,48998,0,0
8.6,200,46986,0,0
8.7,200,44988,0,0
8.8,200,43010,0,0
8.9,200,41302,0,0
9,200,39639,0,0
9.1,200,38057,0,0
9.2,200,36573,0,0
9.3,200,35140,0,0
9.4,200,33983,0,0
9.5,200,32777,0,0
9.6,200,31539,0,0
9.7,200,30459,0,0
9.8,200,29348,0,0
9.9,200,28343,0,0
10,200,27423,0,0
10.1,200,26488,0,0
10.2,200,25540,0,0
10.3,200,24573,0,0
10.4,200,23788,0,0
10.5,200,23172,0,0
10.6,200,22388,0,0
10.7,200,21729,0,0
10.8,200,21089,0,0
10.9,200,20512,0,0
11,200,19872,0,0
11.1,200,19304,0,0
11.2,200,18761,0,0
11.3,200,18267,0,0
11.4,200,17871,0,0
11.5,200,17262,0,0
11.6,200,16874,0,0
11.7,200,16421,0,0
11.8,200,16032,0,0
11.9,200,15644,0,0
12,200,15164,0,0
12.1,200,14728,0,0
12.2,200,14393,0,0
12.3,200,14110,0,0
12.4,200,13708,0,0
12.5,200,13418,0,0
12.6,200,13118,0,0
12.7,200,12940,0,0
12.8,200,12739,0,0
12.9,200,12449,0,0
13,200,12212,0,0
13.1,200,12002,0,0
13.2,200,11827,0,0
13.3,200,11652,0,0
13.4,200,11484,0,0
13.5,200,11349,0,0
13.6,200,11149,0,0
13.7,200,10974,0,0
13.8,200,10812,0,0
13.9,200,10650,0,0
14,200,10461,0,0
14.1,200,10339,0,0
14.2,199,10210,1,0
14.3,198,10097,1,0
14.4,197,9975,1,0
14.5,195,9875,2,0
14.6,195,9769,0,0
14.7,194,9711,1,0
14.8,192,9626,2,0
14.9,189,9543,3,0
15,188,9413,1,0
15.1,187,9297,1,0
15.2,185,9223,2,0
15.3,184,9229,1,0
15.4,182,9189,2,0
15.5,180,9155,2,0
15.6,179,9038,1,0
15.7,177,8938,2,0
15.8,177,8864,0,0
15.9,175,8803,2,0
16,172,8743,3,0
16.1,172,8693,0,0
16.2,170,8704,2,0
16.3,169,8701,1,0
16.4,169,8702,0,0
16.5,168,8652,1,0
16.6,166,8601,2,0
16.7,166,8550,0,0
16.8,165,8570,1,0
16.9,165,8610,0,0
17,162,8705,3,0
17.1,160,8673,2,0
17.2,160,8633,0,0
17.3,160,8642,0,0
17.4,160,8746,0,0
17.5,157,8794,3,0
17.6,157,8845,0,0
17.7,156,8884,1,0
17.8,155,8912,1,0
17.9,155,8947,0,0
18,155,8924,0,0
18.1,155,8943,0,0
18.2,154,8991,1,0
18.3,152,9070,2,0
18.4,152,9095,0,0
18.5,151,9136,1,0
18.6,150,9222,1,0
18.7,146,9329,4,0
18.8,144,9390,2,0
18.9,144,9469,0,0
19,143,9546,1,0
19.1,141,9659,2,0
19.2,140,9749,1,0
19.3,139,9825,1,0
19.4,138,9940,1,0
19.5,136,10032,2,0
19.6,135,10072,1,0
19.7,135,10209,0,0
19.8,135,10294,0,0
19.9,134,10468,1,0
20,134,10645,0,0
20.1,133,10796,1,0
20.2,131,10971,2,0
20.3,130,11044,1,0
20.4,130,11181,0,0
20.5,130,11353,0,0
20.6,130,11512,0,0
20.7,131,11687,0,1
20.8,131,11818,0,0
20.9,129,11975,2,0
21,129,12196,0,0
21.1,129,12453,0,0
21.2,129,12627,0,0
21.3,128,12873,1,0
21.4,128,13097,0,0
21.5,126,13298,2,0
21.6,127,13550,0,1
21.7,126,13782,1,0
21.8,126,14056,0,0
21.9,125,14346,1,0
22,125,14560,0,0
22.1,125,14816,0,0
22.2,124,15041,1,0
22.3,125,15294,0,1
22.4,126,15632,0,1
22.5,125,15982,1,0
22.6,124,16324,1,0
22.7,123,16595,1,0
22.8,123,16983,0,0
22.9,123,17318,0,0
23,120,17713,3,0
23.1,120,18153,0,0
23.2,117,18529,3,0
23.3,117,18940,0,0
23.4,117,19348,0,0
23.5,117,19659,0,0
23.6,117,20099,0,0
23.7,117,20454,0,0
23.8,117,20966,0,0
23.9,117,21526,0,0
24,117,21989,0,0
24.1,117,22521,0,0
24.2,117,22968,0,0
24.3,117,23404,0,0
24.4,117,23908,0,0
24.5,117,24436,0,0
24.6,117,25024,0,0
24.7,117,25512,0,0
24.8,116,26178,1,0
24.9,116,26858,0,0
25,117,27468,0,1
25.1,117,28102,0,0
25.2,117,28738,0,0
25.3,117,29424,0,0
25.4,117,30127,0,0
25.5,118,30904,0,1
25.6,118,31802,0,0
25.7,119,32612,0,1
25.8,118,33431,1,0
25.9,119,34297,0,1
26,119,35032,0,0
26.1,119,36048,0,0
26.2,119,36834,0,0
26.3,119,37688,0,0
26.4,119,38734,0,0
26.5,119,39658,0,0
26.6,119,40524,0,0
26.7,119,41551,0,0
26.8,119,42362,0,0
26.9,119,43172,0,0
27,118,43848,1,0
27.1,118,44707,0,0
27.2,118,45384,0,0
27.3,118,46159,0,0
27.4,118,46886,0,0
27.5,118,47756,0,0
27.6,118,48640,0,0
27.7,119,49402,0,1
27.8,120,50190,0,1
27.9,120,50831,0,0
28,120,51604,0,0
28.1,120,52465,0,0
28.2,119,53200,1,0
28.3,119,54030,0,0
28.4,119,54761,0,0
28.5,119,55634,0,0
28.6,119,56369,0,0
28.7,119,57085,0,0
28.8,120,57790,0,1
28.9,120,58389,0,0
29,121,58987,0,1
29.1,121,59476,0,0
29.2,121,60048,0,0
29.3,122,60616,0,1
29.4,121,61176,1,0
29.5,121,61592,0,0
29.6,122,61956,1,2
29.7,122,62342,0,0
29.8,122,62718,0,0
29.9,122,63188,0,0
30,122,63461,0,0
30.1,121,63659,1,0
30.2,121,63988,0,0
30.3,123,64334,0,2
30.4,123,64617,0,0
30.5,123,64768,0,0
30.6,123,64999,0,0
30.7,123,65160,0,0
30.8,122,65417,1,0
30.9,122,65453,1,1
31,121,65371,1,0
31.1,121,65406,0,0
31.2,121,65493,0,0
31.3,123,65488,0,2
31.4,123,65385,0,0
31.5,124,65382,1,2
31.6,123,65130,1,0
31.7,123,64730,0,0
31.8,123,64473,0,0
31.9,122,64035,1,0
32,122,63696,0,0
32.1,122,63265,0,0
32.2,122,62872,0,0
32.3,122,62415,0,0
32.4,122,62011,0,0
32.5,122,61467,0,0
32.6,123,60968,0,1
32.7,123,60638,0,0
32.8,123,60049,0,0
32.9,123,59542,0,0
33,123,58933,0,0
33.1,123,58400,0,0
33.2,123,57753,0,0
33.3,123,56978,0,0
33.4,123,56335,0,0
33.5,125,55935,0,2
33.6,125,55334,0,0
33.7,125,54560,0,0
33.8,125,53914,0,0
33.9,125,53223,0,0
34,125,52581,0,0
34.1,125,51990,0,0
34.2,125,51397,0,0
34.3,126,50810,0,1
34.4,125,50258,1,0
34.5,125,49463,0,0
34.6,125,48911,0,0
34.7,125,48261,0,0
34.8,126,47604,0,1
34.9,126,47033,0,0
35,126,46284,0,0
35.1,126,45541,0,0
35.2,126,44988,0,0
35.3,126,44332,0,0
35.4,126,43656,0,0
35.5,126,42962,0,0
35.6,126,42335,0,0
35.7,126,41598,0,0
35.8,126,40848,0,0
35.9,126,40137,0,0
36,126,39445,0,0
36.1,126,38704,0,0
36.2,126,38057,0,0
36.3,127,37485,0,1
36.4,127,36837,0,0
36.5,128,36015,0,1
36.6,128,35526,0,0
36.7,127,34925,1,0
36.8,127,34303,0,0
36.9,127,33855,0,0
37,127,33313,0,0
37.1,127,32904,0,0
37.2,127,32564,0,0
37.3,127,32168,0,0
37.4,127,31793,0,0
37.5,127,31552,0,0
37.6,127,31207,0,0
37.7,127,30705,0,0
37.8,128,30516,0,1
37.9,128,30306,0,0
38,128,30073,0,0
38.1,128,29741,0,0
38.2,128,29428,0,0
38.3,128,29189,0,0
38.4,128,29127,0,0
38.5,128,28983,0,0
38.6,128,28876,0,0
38.7,129,28768,0,1
38.8,129,28974,0,0
38.9,129,29032,0,0
39,129,29123,0,0
39.1,129,29212,0,0
39.2,129,29229,0,0
39.3,129,29190,0,0
39.4,129,29153,0,0
39.5,129,29278,0,0
39.6,129,29253,0,0
39.7,129,29442,0,0
39.8,129,29522,0,0
39.9,129,29645,0,0
40,129,29759,0,0
40.1,129,29882,0,0
40.2,129,29980,0,0
40.3,129,30127,0,0
40.4,130,30118,0,1
40.5,130,30167,0,0
40.6,130,30282,0,0
40.7,131,30391,0,1
40.8,131,30282,0,0
40.9,131,30364,0,0
41,131,30259,0,0
41.1,131,30383,0,0
41.2,131,30167,0,0
41.3,131,30025,0,0
41.4,131,29906,0,0
41.5,131,29783,0,0
41.6,131,29650,0,0
41.7,131,29444,0,0
41.8,132,29245,0,1
41.9,132,28964,0,0
42,132,28432,0,0
42.1,132,28180,0,0
42.2,132,27873,0,0
42.3,132,27613,0,0
42.4,132,27270,0,0
42.5,132,27076,0,0
42.6,132,26736,0,0
42.7,132,26529,0,0
42.8,132,26357,0,0
42.9,132,25992,0,0
43,132,25947,0,0
43.1,132,25885,0,0
43.2,133,25775,0,1
43.3,133,25806,0,0
43.4,133,25809,0,0
43.5,133,25883,0,0
43.6,133,25983,0,0
43.7,133,25886,0,0
43.8,134,25955,0,1
43.9,134,26012,0,0
44,134,26201,0,0
44.1,134,26304,0,0
44.2,135,26360,0,1
44.3,135,26429,0,0
44.4,135,26582,0,0
44.5,135,26864,0,0
44.6,135,26991,0,0
44.7,135,27169,0,0
44.8,135,27435,0,0
44.9,135,27774,0,0
45,135,28075,0,0
45.1,135,28266,0,0
45.2,135,28505,0,0
45.3,135,28815,0,0
45.4,135,29029,0,0
45.5,135,29310,0,0
45.6,135,29762,0,0
45.7,135,29878,0,0
45.8,135,30210,0,0
45.9,135,30685,0,0
46,135,31183,0,0
46.1,135,31521,0,0
46.2,135,31779,0,0
46.3,135,32215,0,0
46.4,136,32742,0,1
46.5,137,33020,0,1
46.6,137,33624,0,0
46.7,137,33993,0,0
46.8,137,34425,0,0
46.9,137,34974,0,0
47,137,35403,0,0
47.1,137,35777,0,0
47.2,137,36216,0,0
47.3,136,36630,1,0
47.4,136,37057,0,0
47.5,136,37276,0,0
47.6,136,37490,0,0
47.7,137,37907,0,1
47.8,137,38217,0,0
47.9,137,38656,0,0
48,137,38994,0,0
48.1,137,39289,0,0
48.2,138,39502,0,1
48.3,138,39842,0,0
48.4,138,40137,0,0
48.5,138,40391,0,0
48.6,138,40582,0,0
48.7,138,40947,0,0
48.8,138,41068,0,0
48.9,138,41465,0,0
49,138,41926,0,0
49.1,138,42275,0,0
49.2,138,42728,0,0
49.3,138,43079,0,0
49.4,138,43477,0,0
49.5,138,43836,0,0
49.6,138,44282,0,0
49.7,138,44624,0,0
49.8,138,45012,0,0
49.9,138,45440,0,0
50,138,45824,0,0
50.1,138,46092,0,0
50.2,138,46421,0,0
50.3,138,46775,0,0
50.4,138,47123,0,0
50.5,138,47284,0,0
50.6,139,47526,0,1
50.7,139,47802,0,0
50.8,139,48119,0,0
50.9,138,48415,1,0
51,138,48483,0,0
51.1,138,48710,0,0
51.2,140,48939,0,2
51.3,140,49194,0,0
51.4,140,49406,0,0
51.5,140,49472,1,1
51.6,140,49633,0,0
51.7,140,49817,0,0
51.8,140,50164,0,0
51.9,139,50411,1,0
52,139,50501,0,0
52.1,139,50718,0,0
52.2,140,50823,0,1
52.3,141,50755,0,1
52.4,140,50839,1,0
52.5,140,51121,0,0
52.6,140,51179,0,0
52.7,139,51293,1,0
52.8,139,51565,0,0
52.9,139,51789,0,0
53,139,51960,0,0
53.1,139,51930,0,0
53.2,139,52068,0,0
53.3,139,52075,0,0
53.4,139,52120,0,0
53.5,139,51953,0,0
53.6,139,51813,0,0
53.7,139,52049,0,0
53.8,139,52198,0,0
53.9,139,52380,0,0
54,139,52577,0,0
54.1,139,52849,0,0
54.2,139,52901,0,0
54.3,138,53307,1,0
54.4,138,53503,0,0
54.5,138,53699,0,0
54.6,138,53993,0,0
54.7,139,54330,0,1
54.8,139,54544,0,0
54.9,138,55096,1,0
55,138,55452,0,0
55.1,138,55770,0,0
55.2,137,56208,1,0
55.3,137,56555,0,0
55.4,137,56759,0,0
55.5,136,56906,1,0
55.6,136,57194,0,0
55.7,136,57445,0,0
55.8,138,57516,0,2
