"patch","extinction_events","recolonization_events","fraction_time_infected"
1,0,0,1
2,0,0,1
3,0,0,1
4,8,7,0.291741651669666
5,0,0,1
6,0,0,1
7,0,0,1
8,0,0,1
9,10,10,0.300339932013597
10,7,7,0.325134973005399
11,1,1,0.981403719256149
12,2,2,0.902219556088782
13,0,0,1
14,4,4,0.0591881623675265
15,0,0,1
16,10,9,0.188962207558488
17,11,11,0.325134973005399
18,0,0,1
19,0,0,1
20,0,0,1
21,10,10,0.193361327734453
22,10,9,0.237352529494101
23,0,0,1
24,10,9,0.187562487502499
25,6,6,0.200359928014397
26,10,9,0.273945210957808
27,0,0,1
28,0,0,1
29,0,0,1
30,7,6,0.173365326934613
31,0,0,1
32,0,0,1
33,0,0,1
34,0,0,1
35,0,0,1
36,13,13,0.316536692661468
37,0,0,1
38,0,0,1
39,0,0,1
40,11,11,0.447710457908418
41,0,0,1
42,0,0,1
43,10,10,0.339932013597281
44,0,0,1
45,0,0,1
46,0,0,1
47,0,0,1
48,13,12,0.235952809438112
49,0,0,1
50,0,0,1
51,0,0,1
52,0,0,1
53,10,9,0.235552889422116
54,7,7,0.244151169766047
55,0,0,1
56,2,2,0.918616276744651
57,1,1,0.902819436112777
58,0,0,1
59,7,7,0.425314937012597
60,0,0,1
61,8,7,0.270345930813837
62,0,0,1
63,11,10,0.139772045590882
64,10,10,0.273345330933813
65,3,3,0.735452909418116
66,7,6,0.265946810637872
67,0,0,1
68,0,0,1
69,6,6,0.570285942811438
70,8,7,0.115376924615077
71,0,0,1
72,8,7,0.15376924615077
73,0,0,1
74,2,2,0.897420515896821
75,11,10,0.259748050389922
76,0,0,1
77,0,0,1
78,0,0,1
79,1,1,0.955808838232354
80,7,6,0.187162567486503
81,7,6,0.271745650869826
82,13,12,0.177164567086583
83,12,11,0.213557288542292
84,1,1,0.928814237152569
85,0,0,1
86,6,6,0.60127974405119
87,0,0,1
88,4,4,0.718256348730254
89,0,0,1
90,0,0,1
91,0,0,1
92,10,9,0.314537092581484
93,7,7,0.471505698860228
94,0,0,1
95,0,0,1
96,6,6,0.698660267946411
97,0,0,1
98,0,0,1
99,0,0,1
100,0,0,1
101,0,0,1
102,0,0,1
103,0,0,1
104,2,2,0.712657468506299
105,10,9,0.156568686262747
106,0,0,1
107,0,0,1
108,0,0,1
109,0,0,1
110,2,2,0.877824435112977
111,0,0,1
112,0,0,1
113,6,6,0.684263147370526
114,6,6,0.421915616876625
115,10,9,0.27874425114977
116,5,5,0.764847030593881
117,9,8,0.241551689662068
118,4,4,0.838832233553289
119,0,0,1
120,5,5,0.535292941411718
121,2,2,0.890821835632873
122,0,0,1
123,0,0,1
124,0,0,1
125,0,0,1
126,1,1,0.956608678264347
127,0,0,1
128,0,0,1
129,7,7,0.476504699060188
130,0,0,1
131,3,3,0.60627874425115
132,0,0,1
133,0,0,1
134,0,0,1
135,0,0,1
136,0,0,1
137,0,0,1
138,1,1,0.966606678664267
139,0,0,1
140,8,7,0.26754649070186
141,10,10,0.261347730453909
142,0,0,1
143,8,8,0.399720055988802
144,0,0,1
145,9,8,0.303939212157568
146,0,0,1
147,6,6,0.174765046990602
148,0,0,1
149,0,0,1
150,0,0,1
151,0,0,1
152,0,0,1
153,0,0,1
154,4,4,0.64127174565087
155,0,0,1
156,0,0,1
157,2,2,0.86122775444911
158,0,0,1
159,0,0,1
160,8,8,0.439712057588482
161,6,6,0.189562087582483
162,9,8,0.239552089582084
163,2,2,0.84003199360128
164,0,0,1
165,0,0,1
166,5,5,0.657268546290742
167,0,0,1
168,9,8,0.109178164367127
169,0,0,1
170,0,0,1
171,9,9,0.175364927014597
172,9,8,0.209758048390322
173,0,0,1
174,9,9,0.452909418116377
175,6,5,0.191961607678464
176,9,8,0.230353929214157
177,5,5,0.698660267946411
178,0,0,1
179,3,3,0.876624675064987
180,0,0,1
181,6,5,0.141771645670866
182,0,0,1
183,3,3,0.764647070585883
184,0,0,1
185,0,0,1
186,0,0,1
187,0,0,1
188,0,0,1
189,5,4,0.0819836032793441
190,0,0,1
191,0,0,1
192,0,0,1
193,0,0,1
194,0,0,1
195,2,2,0.977804439112178
196,0,0,1
197,2,2,0.931813637272546
198,7,7,0.586682663467307
199,0,0,1
200,0,0,1
