"step","patches_neither","patches_I1_only","patches_I2_only","patches_both","occupied_I1","occupied_I2","global_I1","global_I2","mean_N","I1_local_extinctions","I1_recolonizations","I2_local_extinctions","I2_recolonizations"
0,0,200,0,0,200,0,55747,0,9999.945,0,0,0,0
0.1,0,200,0,0,200,0,67029,0,9977.195,0,0,0,0
0.2,0,200,0,0,200,0,79765,0,9948.915,0,0,0,0
0.3,0,200,0,0,200,0,95015,0,9916.705,0,0,0,0
0.4,0,200,0,0,200,0,112719,0,9877.99,0,0,0,0
0.5,0,200,0,0,200,0,133073,0,9831.975,0,0,0,0
0.6,0,200,0,0,200,0,156748,0,9777.96,0,0,0,0
0.7,0,200,0,0,200,0,183503,0,9714.47,0,0,0,0
0.8,0,200,0,0,200,0,213798,0,9639.855,0,0,0,0
0.9,0,200,0,0,200,0,247505,0,9554.23,0,0,0,0
1,0,200,0,0,200,0,284404,0,9453.7,0,0,0,0
1.1,0,200,0,0,200,0,323969,0,9337.02,0,0,0,0
1.2,0,200,0,0,200,0,366722,0,9206.42,0,0,0,0
1.3,0,200,0,0,200,0,410099,0,9055.9,0,0,0,0
1.4,0,200,0,0,200,0,455400,0,8888.12,0,0,0,0
1.5,0,200,0,0,200,0,499558,0,8700.815,0,0,0,0
1.6,0,200,0,0,200,0,541015,0,8491.31,0,0,0,0
1.7,0,200,0,0,200,0,579371,0,8264.09,0,0,0,0
1.8,0,200,0,0,200,0,613596,0,8018.74,0,0,0,0
1.9,0,200,0,0,200,0,642399,0,7758.675,0,0,0,0
2,0,200,0,0,200,0,665183,0,7485.255,0,0,0,0
2.1,0,200,0,0,200,0,680408,0,7197.955,0,0,0,0
2.2,0,200,0,0,200,0,688815,0,6902.92,0,0,0,0
2.3,0,200,0,0,200,0,691496,0,6605.12,0,0,0,0
2.4,0,200,0,0,200,0,687206,0,6302.61,0,0,0,0
2.5,0,200,0,0,200,0,678079,0,6001.105,0,0,0,0
2.6,0,200,0,0,200,0,664506,0,5703.675,0,0,0,0
2.7,0,200,0,0,200,0,646734,0,5410.055,0,0,0,0
2.8,0,200,0,0,200,0,625228,0,5123.06,0,0,0,0
2.9,0,200,0,0,200,0,601769,0,4847.72,0,0,0,0
3,0,200,0,0,200,0,576766,0,4582.175,0,0,0,0
3.1,0,200,0,0,200,0,550071,0,4324.3,0,0,0,0
3.2,0,200,0,0,200,0,522847,0,4080.495,0,0,0,0
3.3,0,200,0,0,200,0,495105,0,3846.53,0,0,0,0
3.4,0,200,0,0,200,0,467775,0,3624.995,0,0,0,0
3.5,0,200,0,0,200,0,440719,0,3416.84,0,0,0,0
3.6,0,200,0,0,200,0,414583,0,3221.44,0,0,0,0
3.7,0,200,0,0,200,0,389242,0,3038.045,0,0,0,0
3.8,0,200,0,0,200,0,364869,0,2865.605,0,0,0,0
3.9,0,200,0,0,200,0,341269,0,2703.6,0,0,0,0
4,0,200,0,0,200,0,318575,0,2551.79,0,0,0,0
4.1,0,200,0,0,200,0,297394,0,2412.22,0,0,0,0
4.2,0,200,0,0,200,0,276757,0,2279.985,0,0,0,0
4.3,0,200,0,0,200,0,257448,0,2157.11,0,0,0,0
4.4,0,200,0,0,200,0,239566,0,2044.755,0,0,0,0
