"patch","I1_extinction_events","I1_recolonization_events","I2_extinction_events_after_intro","I2_recolonization_events_after_intro","fraction_time_I1_present","fraction_time_I2_present_after_intro","mean_population"
1,3,3,2,2,0.581083783243351,0.447888027993002,4481.2525494901
2,5,4,2,3,0.0757848430313937,0.0904773806548363,8487.89122175565
3,3,2,1,2,0.0683863227354529,0.113971507123219,8430.99520095981
4,1,0,1,1,0.028994201159768,0.0564858785303674,9098.51289742052
5,3,2,0,1,0.0617876424715057,0.494126468382904,6737.1023795241
6,5,4,2,2,0.105178964207159,0.10497375656086,7701.99280143971
7,0,0,3,3,1,0.00549862534366408,3480.38732253549
8,1,0,1,1,0.0243951209758048,0.00424893776555861,9475.74845030994
9,2,1,1,1,0.0733853229354129,0.000999750062484379,8990.84763047391
10,3,2,0,0,0.0751849630073985,0,8970.25274945011
11,6,5,1,1,0.194561087782444,0.0662334416395901,7316.27574485103
12,6,5,0,0,0.167566486702659,0,7520.75824835033
13,0,0,1,1,1,0.00224943764058985,3495.67326534693
14,3,2,0,0,0.119376124775045,0,8563.07478504299
15,4,3,0,0,0.186362727454509,0,8018.59648070386
16,2,1,0,0,0.0615876824635073,0,9027.03179364127
17,2,2,2,2,0.172365526894621,0.0532366908272932,7877.99540091982
18,5,4,0,1,0.0753849230153969,0.094976255936016,8618.56688662268
19,2,1,1,2,0.0637872425514897,0.321419645088728,7507.63347330534
20,1,0,0,0,0.0275944811037792,0,9501.06118776245
21,3,2,1,1,0.0703859228154369,0.0507373156710822,8616.1149770046
22,3,2,0,0,0.140571885622875,0,8553.6198760248
23,1,0,0,1,0.0291941611677664,0.167708072981755,8744.38712257548
24,0,0,0,0,1,0,3511.46570685863
25,3,3,1,1,0.11877624475105,0.102224443889028,8353.69946010798
26,3,2,1,1,0.0627874425114977,0.0484878780304924,9075.72265546891
27,3,3,1,1,0.449310137972406,0.0419895026243439,6437.21675664867
28,3,2,0,0,0.0941811637672466,0,8487.98480303939
29,5,5,2,2,0.121775644871026,0.0629842539365159,8147.99100179964
30,2,1,0,1,0.0495900819836033,0.0267433141714571,9455.39132173565
31,6,5,2,2,0.195560887822436,0.0547363159210197,7117.53789242152
32,2,1,4,4,0.0885822835432913,0.122219445138715,8235.31073785243
33,5,4,0,0,0.155168966206759,0,8030.59948010398
34,1,0,1,2,0.0243951209758048,0.154461384653837,8658.23635272945
35,3,3,1,1,0.0941811637672466,0.0149962509372657,8874.83103379324
36,1,1,2,2,0.964007198560288,0.0044988752811797,3551.84283143371
37,0,0,0,0,1,0,3447.55628874225
38,4,3,0,0,0.0981803639272146,0,8499.73765246951
39,1,0,0,0,0.0293941211757648,0,9510.52309538092
40,3,2,2,3,0.0293941211757648,0.331917020744814,7732.36952609478
41,4,3,2,3,0.0631873625274945,0.208447888027993,8067.19296140772
42,3,2,1,1,0.0695860827834433,0.047488127968008,8643.48790241952
43,3,2,2,2,0.0737852429514097,0.00249937515621095,9011.14857028594
44,1,1,0,0,0.903019396120776,0,3806.51329734053
45,2,1,4,4,0.0613877224555089,0.00374906273431642,9006.78224355129
46,2,1,2,2,0.0389922015596881,0.0539865033741565,9089.3825234953
47,2,2,1,1,0.566686662667466,0.00224943764058985,5905.4949010198
48,2,2,0,0,0.493901219756049,0,6212.52969406119
49,3,2,1,1,0.0747850429914017,0.0594851287178205,8577.7474505099
50,3,2,0,0,0.0623875224955009,0,9021.51269746051
51,3,2,3,4,0.0637872425514897,0.0832291927018246,8528.0373925215
52,3,2,1,2,0.0649870025994801,0.0262434391402149,8965.60807838432
53,3,2,1,1,0.0661867626474705,0.000499875031242189,8969.54409118176
54,4,3,2,2,0.0793841231753649,0.0582354411397151,8671.52569486103
55,5,4,2,2,0.121375724855029,0.00149962509372657,8537.93881223755
56,4,3,2,2,0.0787842431513697,0.11647088227943,8199.09338132374
57,2,2,1,1,0.786642671465707,0.0047488127968008,4356.41531693661
58,4,3,1,2,0.0799840031993601,0.284428892776806,7679.36112777444
59,1,0,2,3,0.0287942411517696,0.239440139965009,8334.3801239752
60,2,1,0,0,0.030993801239752,0,9490.15176964607
61,3,2,0,0,0.0349930013997201,0,9502.78704259148
62,3,2,1,1,0.0753849230153969,0.0452386903274181,8594.29634073185
63,4,3,2,2,0.108378324335133,0.0674831292176956,8177.37332533493
64,0,0,0,0,1,0,3454.87282543491
65,1,0,3,3,0.0313937212557489,0.191202199450137,8369.4699060188
66,2,1,1,1,0.0319936012797441,0.000499875031242189,9489.69446110778
67,4,3,0,1,0.0921815636872625,0.253186703324169,7857.33553289342
68,1,0,1,1,0.0287942411517696,0.0722319420144964,9089.27294541092
69,3,2,0,0,0.0705858828234353,0,8998.4025194961
70,2,1,1,1,0.0675864827034593,0.00124968757810547,9009.27674465107
71,3,2,1,1,0.0969806038792242,0.0514871282179455,8083.51629674065
72,2,1,3,3,0.0723855228954209,0.117970507373157,8199.84303139372
73,1,0,0,0,0.0255948810237952,0,9469.55268946211
74,5,4,0,0,0.0965806838632274,0,9005.16796640672
75,2,1,1,1,0.0619876024795041,0.0512371907023244,8587.78264347131
76,3,2,0,0,0.0727854429114177,0,9031.23475304939
77,2,1,1,1,0.0379924015196961,0.00299925018745314,9496.89522095581
78,6,5,1,2,0.0717856428714257,0.327668082979255,7339.11377724455
79,5,4,2,2,0.149370125974805,0.0137465633591602,7960.60707858428
80,3,2,2,2,0.0593881223755249,0.0589852536865784,8595.84563087383
81,2,1,0,1,0.0737852429514097,0.3744063984004,7288.09298140372
